trade_index,trade_date,direction,entry_time,exit_time,entry_price,risk,stop_loss,target,original_exit_reason,entry_candle_found,post_entry_candles,exit_candle_is_entry_candle,valid_post_entry_path,mfe_r,mae_r,max_mfe_time,max_mae_time,r05_reached,r05_time,r10_reached,r10_time,r15_reached,r15_time,r20_reached,r20_time
1,2026-07-01,SELL,2026-07-01 09:55:00+05:30,2026-07-01 12:10:00+05:30,1002.4985,3.20150000000001,1005.7,996.0955,TARGET,True,27,False,True,2.6233015773855963,0.0,2026-07-01 12:10:00+05:30,,True,2026-07-01 10:00:00+05:30,True,2026-07-01 10:05:00+05:30,True,2026-07-01 10:20:00+05:30,True,2026-07-01 12:10:00+05:30
2,2026-07-02,BUY,2026-07-02 10:00:00+05:30,2026-07-02 15:20:00+05:30,1034.9172,4.5172000000000025,1030.4,1043.9516,TARGET,True,64,False,True,2.0107146019657978,0.8671743557956458,2026-07-02 15:20:00+05:30,2026-07-02 10:05:00+05:30,True,2026-07-02 10:20:00+05:30,True,2026-07-02 11:20:00+05:30,True,2026-07-02 13:50:00+05:30,True,2026-07-02 15:20:00+05:30
3,2026-07-03,SELL,2026-07-03 11:00:00+05:30,2026-07-03 11:00:00+05:30,1051.2741,1.4259000000001834,1052.7,1048.4222999999995,STOP_LOSS,True,0,True,False,0.0,0.0,,,False,,False,,False,,False,
4,2026-07-07,BUY,2026-07-07 10:05:00+05:30,2026-07-07 10:05:00+05:30,1071.03525,2.0352499999999054,1069.0,1075.1057499999995,STOP_LOSS,True,0,True,False,0.0,0.0,,,False,,False,,False,,False,
5,2026-07-10,SELL,2026-07-10 09:55:00+05:30,2026-07-10 10:15:00+05:30,1068.16565,2.734349999999949,1070.9,1062.6969500000002,STOP_LOSS,True,4,False,True,0.46287051767324844,1.1462870517673667,2026-07-10 10:05:00+05:30,2026-07-10 10:15:00+05:30,False,,False,,False,,False,
6,2026-07-14,SELL,2026-07-14 10:45:00+05:30,2026-07-14 15:25:00+05:30,1099.6499,5.350099999999884,1105.0,1088.9497000000003,END_OF_DAY,True,56,False,True,1.8036859124128704,0.7570138875909319,2026-07-14 13:25:00+05:30,2026-07-14 11:10:00+05:30,True,2026-07-14 10:50:00+05:30,True,2026-07-14 12:05:00+05:30,True,2026-07-14 12:35:00+05:30,False,
7,2026-07-17,SELL,2026-07-17 09:50:00+05:30,2026-07-17 15:25:00+05:30,1097.451,7.048999999999978,1104.5,1083.353,END_OF_DAY,True,67,False,True,0.7733011774719873,0.9716271811604418,2026-07-17 15:25:00+05:30,2026-07-17 09:55:00+05:30,True,2026-07-17 15:20:00+05:30,False,,False,,False,
8,2026-07-20,SELL,2026-07-20 11:45:00+05:30,2026-07-20 12:10:00+05:30,1090.0547,1.8453000000001796,1091.9,1086.3640999999996,TARGET,True,5,False,True,2.576654202568414,0.40389096623853593,2026-07-20 12:10:00+05:30,2026-07-20 11:50:00+05:30,True,2026-07-20 11:50:00+05:30,True,2026-07-20 12:05:00+05:30,True,2026-07-20 12:10:00+05:30,True,2026-07-20 12:10:00+05:30
9,2026-07-21,SELL,2026-07-21 10:25:00+05:30,2026-07-21 15:25:00+05:30,1072.2636,7.836399999999912,1080.1,1056.5908000000002,END_OF_DAY,True,60,False,True,0.64616405492318,0.8085855750089306,2026-07-21 10:50:00+05:30,2026-07-21 11:55:00+05:30,True,2026-07-21 10:50:00+05:30,False,,False,,False,
10,2026-07-22,SELL,2026-07-22 10:40:00+05:30,2026-07-22 10:40:00+05:30,1056.6714,1.0286000000000968,1057.7,1054.6141999999998,STOP_LOSS,True,0,True,False,0.0,0.0,,,False,,False,,False,,False,
