trade_index,trade_date,direction,signal_time,signal_close,signal_high,signal_low,signal_vwap,orb_high,orb_low,broken_zone_low,broken_zone_high,broken_level_primary,broken_level_secondary,signal_found,break_confirmed,move_away,move_away_time,move_away_price,favorable_extreme,favorable_extreme_time,retest_reached,retest_time,retest_price,retest_candle_high,retest_candle_low,retest_candle_close,rejection,rejection_time,rejection_price,continuation,continuation_time,continuation_price,status
1,2026-07-01,SELL,2026-07-01 09:35:00+05:30,1003.8,1005.6,1002.6,1008.8764614066155,1014.0,1004.8,1004.8,1008.8764614066155,1004.8,1008.8764614066155,True,True,True,2026-07-01 09:40:00+05:30,1001.2,1001.2,2026-07-01 09:40:00+05:30,True,2026-07-01 09:45:00+05:30,1004.8,1006.8,1002.2,1005.6,True,2026-07-01 09:50:00+05:30,1003.0,True,2026-07-01 09:55:00+05:30,1001.2,COMPLETE_RETEST_SEQUENCE
2,2026-07-01,SELL,2026-07-01 09:50:00+05:30,1003.0,1005.7,1002.1,1007.655711794229,1014.0,1004.8,1004.8,1007.655711794229,1004.8,1007.655711794229,True,True,True,2026-07-01 09:55:00+05:30,1001.0,982.4,2026-07-01 15:25:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
3,2026-07-02,BUY,2026-07-02 09:35:00+05:30,1030.9,1032.3,1027.7,1023.2270212568361,1029.8,1006.0,1023.2270212568361,1029.8,1029.8,1023.2270212568361,True,True,True,2026-07-02 09:40:00+05:30,1034.5,1034.9,2026-07-02 09:45:00+05:30,True,2026-07-02 09:50:00+05:30,1029.8,1031.9,1028.7,1030.5,True,2026-07-02 09:55:00+05:30,1034.4,True,2026-07-02 10:15:00+05:30,1035.7,COMPLETE_RETEST_SEQUENCE
4,2026-07-03,SELL,2026-07-03 09:30:00+05:30,1051.5,1054.2,1050.5,1057.6590198862611,1068.7,1052.2,1052.2,1057.6590198862611,1052.2,1057.6590198862611,True,True,True,2026-07-03 09:35:00+05:30,1049.0,1042.0,2026-07-03 09:45:00+05:30,True,2026-07-03 10:50:00+05:30,1052.2,1052.7,1049.0,1052.7,True,2026-07-03 10:55:00+05:30,1051.6,True,2026-07-03 12:00:00+05:30,1049.9,COMPLETE_RETEST_SEQUENCE
5,2026-07-03,SELL,2026-07-03 11:55:00+05:30,1050.5,1053.6,1050.0,1052.0054903658781,1068.7,1052.2,1052.0054903658781,1052.2,1052.2,1052.0054903658781,True,True,True,2026-07-03 12:00:00+05:30,1049.3,1049.3,2026-07-03 12:00:00+05:30,True,2026-07-03 12:05:00+05:30,1052.0054903658781,1052.4,1049.3,1052.4,True,2026-07-03 12:40:00+05:30,1051.7,True,2026-07-03 13:05:00+05:30,1050.1,COMPLETE_RETEST_SEQUENCE
6,2026-07-03,SELL,2026-07-03 12:40:00+05:30,1051.7,1053.5,1050.6,1052.3942736651352,1068.7,1052.2,1052.2,1052.3942736651352,1052.2,1052.3942736651352,True,True,True,2026-07-03 12:45:00+05:30,1050.9,1043.6,2026-07-03 13:55:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
7,2026-07-06,SELL,2026-07-06 09:50:00+05:30,1041.1,1043.2,1040.7,1044.6113945822246,1053.0,1041.2,1041.2,1044.6113945822246,1041.2,1044.6113945822246,True,True,True,2026-07-06 09:55:00+05:30,1037.5,1033.0,2026-07-06 11:10:00+05:30,True,2026-07-06 15:05:00+05:30,1041.2,1042.7,1040.3,1042.1,False,,,False,,,RETEST_BUT_NO_REJECTION
8,2026-07-07,BUY,2026-07-07 09:40:00+05:30,1069.2,1070.0,1063.2,1061.656811112668,1067.5,1040.6,1061.656811112668,1067.5,1067.5,1061.656811112668,True,True,True,2026-07-07 09:45:00+05:30,1074.8,1074.8,2026-07-07 09:45:00+05:30,True,2026-07-07 09:55:00+05:30,1067.5,1069.5,1065.8,1069.5,True,2026-07-07 10:00:00+05:30,1070.5,True,2026-07-07 10:05:00+05:30,1074.5,COMPLETE_RETEST_SEQUENCE
9,2026-07-07,BUY,2026-07-07 10:55:00+05:30,1071.1,1071.4,1069.6,1070.6057444018043,1067.5,1040.6,1067.5,1070.6057444018043,1067.5,1070.6057444018043,True,True,True,2026-07-07 11:00:00+05:30,1076.8,1087.5,2026-07-07 11:45:00+05:30,True,2026-07-07 15:05:00+05:30,1070.6057444018043,1072.6,1070.4,1071.1,True,2026-07-07 15:10:00+05:30,1072.0,False,,,REJECTION_BUT_NO_CONTINUATION
10,2026-07-07,BUY,2026-07-07 14:45:00+05:30,1075.6,1075.8,1073.7,1075.1866528391815,1067.5,1040.6,1067.5,1075.1866528391815,1067.5,1075.1866528391815,True,True,True,2026-07-07 14:50:00+05:30,1075.8,1075.8,2026-07-07 14:50:00+05:30,True,2026-07-07 14:55:00+05:30,1075.1866528391815,1075.6,1073.5,1074.2,False,,,False,,,RETEST_BUT_NO_REJECTION
11,2026-07-10,SELL,2026-07-10 09:30:00+05:30,1066.2,1071.8,1065.5,1078.624983660407,1091.3,1069.2,1069.2,1078.624983660407,1069.2,1078.624983660407,True,True,True,2026-07-10 09:35:00+05:30,1064.7,1064.7,2026-07-10 09:35:00+05:30,True,2026-07-10 09:40:00+05:30,1069.2,1070.4,1067.7,1068.8,True,2026-07-10 09:50:00+05:30,1068.7,True,2026-07-10 10:05:00+05:30,1067.6,COMPLETE_RETEST_SEQUENCE
12,2026-07-10,SELL,2026-07-10 09:50:00+05:30,1068.7,1070.9,1068.2,1076.1468984261799,1091.3,1069.2,1069.2,1076.1468984261799,1069.2,1076.1468984261799,True,True,True,2026-07-10 09:55:00+05:30,1066.0,1066.0,2026-07-10 09:55:00+05:30,True,2026-07-10 10:00:00+05:30,1069.2,1070.3,1067.1,1068.3,True,2026-07-10 10:05:00+05:30,1067.6,True,2026-07-10 15:00:00+05:30,1065.5,COMPLETE_RETEST_SEQUENCE
13,2026-07-10,SELL,2026-07-10 10:20:00+05:30,1068.5,1070.3,1067.8,1074.7155146195332,1091.3,1069.2,1069.2,1074.7155146195332,1069.2,1074.7155146195332,True,True,True,2026-07-10 10:25:00+05:30,1068.0,1066.4,2026-07-10 10:30:00+05:30,True,2026-07-10 10:40:00+05:30,1069.2,1073.8,1067.7,1073.2,True,2026-07-10 11:50:00+05:30,1067.9,True,2026-07-10 14:55:00+05:30,1067.0,COMPLETE_RETEST_SEQUENCE
14,2026-07-10,SELL,2026-07-10 10:30:00+05:30,1067.9,1070.4,1066.4,1074.392892976523,1091.3,1069.2,1069.2,1074.392892976523,1069.2,1074.392892976523,True,True,True,2026-07-10 10:35:00+05:30,1067.0,1067.0,2026-07-10 10:35:00+05:30,True,2026-07-10 10:40:00+05:30,1069.2,1073.8,1067.7,1073.2,True,2026-07-10 11:50:00+05:30,1067.9,True,2026-07-10 14:55:00+05:30,1067.0,COMPLETE_RETEST_SEQUENCE
15,2026-07-10,SELL,2026-07-10 11:50:00+05:30,1067.9,1073.7,1067.2,1073.4265621860222,1091.3,1069.2,1069.2,1073.4265621860222,1069.2,1073.4265621860222,True,True,True,2026-07-10 11:55:00+05:30,1066.5,1066.5,2026-07-10 11:55:00+05:30,True,2026-07-10 12:00:00+05:30,1069.2,1070.0,1067.4,1069.7,True,2026-07-10 12:45:00+05:30,1068.8,True,2026-07-10 14:50:00+05:30,1067.6,COMPLETE_RETEST_SEQUENCE
16,2026-07-10,SELL,2026-07-10 14:45:00+05:30,1068.2,1069.3,1068.2,1072.5130605778008,1091.3,1069.2,1069.2,1072.5130605778008,1069.2,1072.5130605778008,True,True,True,2026-07-10 14:50:00+05:30,1067.0,1065.5,2026-07-10 15:00:00+05:30,True,2026-07-10 15:15:00+05:30,1069.2,1070.0,1067.7,1068.7,True,2026-07-10 15:20:00+05:30,1068.6,False,,,REJECTION_BUT_NO_CONTINUATION
17,2026-07-13,BUY,2026-07-13 10:40:00+05:30,1075.4,1075.8,1070.5,1068.240235557996,1073.4,1057.1,1068.240235557996,1073.4,1073.4,1068.240235557996,True,True,True,2026-07-13 10:45:00+05:30,1081.4,1114.9,2026-07-13 13:05:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
18,2026-07-14,SELL,2026-07-14 09:30:00+05:30,1101.8,1106.7,1101.4,1106.198158030251,1113.5,1102.6,1102.6,1106.198158030251,1102.6,1106.198158030251,True,True,True,2026-07-14 09:35:00+05:30,1098.0,1091.7,2026-07-14 10:15:00+05:30,True,2026-07-14 10:25:00+05:30,1102.6,1103.5,1093.2,1102.9,True,2026-07-14 10:40:00+05:30,1100.2,True,2026-07-14 10:45:00+05:30,1099.2,COMPLETE_RETEST_SEQUENCE
19,2026-07-14,SELL,2026-07-14 10:40:00+05:30,1100.2,1105.0,1100.2,1103.2271135258811,1113.5,1102.6,1102.6,1103.2271135258811,1102.6,1103.2271135258811,True,True,True,2026-07-14 10:45:00+05:30,1096.5,1096.5,2026-07-14 10:45:00+05:30,True,2026-07-14 11:10:00+05:30,1102.6,1103.7,1100.4,1101.2,True,2026-07-14 11:15:00+05:30,1102.4,True,2026-07-14 11:30:00+05:30,1100.1,COMPLETE_RETEST_SEQUENCE
20,2026-07-16,SELL,2026-07-16 15:20:00+05:30,1080.7,1081.6,1080.3,1088.482382816641,1097.3,1081.0,1081.0,1088.482382816641,1081.0,1088.482382816641,True,True,True,2026-07-16 15:25:00+05:30,1077.9,1077.9,2026-07-16 15:25:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
21,2026-07-17,SELL,2026-07-17 09:30:00+05:30,1101.5,1105.1,1100.3,1109.167311309693,1116.8,1104.0,1104.0,1109.167311309693,1104.0,1109.167311309693,True,True,True,2026-07-17 09:35:00+05:30,1101.3,1101.3,2026-07-17 09:35:00+05:30,True,2026-07-17 09:40:00+05:30,1104.0,1105.9,1103.6,1103.6,True,2026-07-17 09:45:00+05:30,1098.1,True,2026-07-17 11:05:00+05:30,1096.8,COMPLETE_RETEST_SEQUENCE
22,2026-07-17,SELL,2026-07-17 09:40:00+05:30,1103.6,1105.9,1103.6,1108.4127136764475,1116.8,1104.0,1104.0,1108.4127136764475,1104.0,1108.4127136764475,True,True,True,2026-07-17 09:45:00+05:30,1097.5,1097.5,2026-07-17 09:45:00+05:30,True,2026-07-17 09:55:00+05:30,1104.0,1104.3,1098.7,1099.9,True,2026-07-17 10:00:00+05:30,1098.5,True,2026-07-17 11:05:00+05:30,1096.8,COMPLETE_RETEST_SEQUENCE
23,2026-07-20,SELL,2026-07-20 10:10:00+05:30,1090.4,1093.0,1090.0,1095.7049827638077,1103.8,1091.0,1091.0,1095.7049827638077,1091.0,1095.7049827638077,True,True,True,2026-07-20 10:15:00+05:30,1089.2,1089.2,2026-07-20 10:15:00+05:30,True,2026-07-20 10:20:00+05:30,1091.0,1093.8,1090.8,1093.5,True,2026-07-20 11:40:00+05:30,1090.6,True,2026-07-20 11:50:00+05:30,1088.5,COMPLETE_RETEST_SEQUENCE
24,2026-07-20,SELL,2026-07-20 11:40:00+05:30,1090.6,1091.9,1090.5,1094.578709210138,1103.8,1091.0,1091.0,1094.578709210138,1091.0,1094.578709210138,True,True,True,2026-07-20 11:45:00+05:30,1090.5,1083.2,2026-07-20 12:20:00+05:30,True,2026-07-20 13:10:00+05:30,1091.0,1091.0,1087.5,1090.9,True,2026-07-20 13:15:00+05:30,1088.6,True,2026-07-20 15:00:00+05:30,1087.4,COMPLETE_RETEST_SEQUENCE
25,2026-07-20,SELL,2026-07-20 13:50:00+05:30,1090.6,1091.7,1090.0,1092.6525533056927,1103.8,1091.0,1091.0,1092.6525533056927,1091.0,1092.6525533056927,True,True,True,2026-07-20 13:55:00+05:30,1089.7,1085.5,2026-07-20 15:05:00+05:30,False,,,,,,False,,,False,,,MOVE_AWAY_BUT_NO_RETEST
26,2026-07-21,SELL,2026-07-21 09:45:00+05:30,1077.3,1084.9,1076.3,1086.4622647083281,1094.4,1078.0,1078.0,1086.4622647083281,1078.0,1086.4622647083281,True,True,True,2026-07-21 09:50:00+05:30,1077.1,1077.1,2026-07-21 09:50:00+05:30,True,2026-07-21 09:55:00+05:30,1078.0,1081.5,1077.9,1078.0,True,2026-07-21 10:20:00+05:30,1072.9,True,2026-07-21 10:45:00+05:30,1070.8,COMPLETE_RETEST_SEQUENCE
27,2026-07-22,SELL,2026-07-22 10:20:00+05:30,1058.1,1062.3,1058.1,1064.2431669591194,1067.3,1058.2,1058.2,1064.2431669591194,1058.2,1064.2431669591194,True,True,True,2026-07-22 10:25:00+05:30,1056.4,1056.0,2026-07-22 10:30:00+05:30,True,2026-07-22 10:45:00+05:30,1058.2,1059.2,1056.6,1058.7,True,2026-07-22 11:10:00+05:30,1056.8,True,2026-07-22 11:15:00+05:30,1056.1,COMPLETE_RETEST_SEQUENCE
28,2026-07-23,BUY,2026-07-23 11:10:00+05:30,1048.2,1049.8,1043.9,1042.1287124256564,1046.9,1032.0,1042.1287124256564,1046.9,1046.9,1042.1287124256564,True,True,True,2026-07-23 11:15:00+05:30,1050.5,1050.5,2026-07-23 11:15:00+05:30,True,2026-07-23 11:25:00+05:30,1046.9,1048.2,1043.0,1043.4,True,2026-07-23 11:45:00+05:30,1048.1,True,2026-07-23 11:50:00+05:30,1051.0,COMPLETE_RETEST_SEQUENCE
29,2026-07-23,BUY,2026-07-23 11:45:00+05:30,1048.1,1048.9,1046.1,1043.1244911508786,1046.9,1032.0,1043.1244911508786,1046.9,1046.9,1043.1244911508786,True,True,True,2026-07-23 11:50:00+05:30,1051.4,1057.8,2026-07-23 12:05:00+05:30,True,2026-07-23 12:30:00+05:30,1046.9,1048.5,1046.2,1047.7,True,2026-07-23 14:15:00+05:30,1047.3,True,2026-07-23 14:25:00+05:30,1049.1,COMPLETE_RETEST_SEQUENCE
