datetime,open,high,low,close,volume
2025-08-18 09:15:00+05:30,125.1,128.1,125.1,127.73,5025242
2025-08-18 09:20:00+05:30,127.8,129.29,127.61,129.17,4715776
2025-08-18 09:25:00+05:30,129.1,130.54,129.08,129.6,5862247
2025-08-18 09:30:00+05:30,129.6,130.45,129.09,129.74,2887289
2025-08-18 09:35:00+05:30,129.73,130.18,129.51,130.0,1851579
2025-08-18 09:40:00+05:30,130.0,130.38,129.78,130.24,1740181
2025-08-18 09:45:00+05:30,130.23,130.3,129.96,130.18,1018168
2025-08-18 09:50:00+05:30,130.21,130.3,129.81,130.26,1255218
2025-08-18 09:55:00+05:30,130.25,130.26,129.95,130.21,760315
2025-08-18 10:00:00+05:30,130.2,130.95,130.18,130.95,2074303
2025-08-18 10:05:00+05:30,130.91,131.4,130.87,131.18,2000295
2025-08-18 10:10:00+05:30,131.12,131.7,131.1,131.57,1654483
2025-08-18 10:15:00+05:30,131.55,132.5,131.45,132.14,3016734
2025-08-18 10:20:00+05:30,132.15,132.6,131.78,131.99,2816550
2025-08-18 10:25:00+05:30,131.99,132.21,131.92,132.09,1141028
2025-08-18 10:30:00+05:30,132.1,132.44,131.71,131.8,2126092
2025-08-18 10:35:00+05:30,131.8,131.99,131.63,131.82,872232
2025-08-18 10:40:00+05:30,131.78,132.01,131.5,131.7,1223805
2025-08-18 10:45:00+05:30,131.65,131.7,131.31,131.52,1061405
2025-08-18 10:50:00+05:30,131.52,131.53,131.15,131.22,782993
2025-08-18 10:55:00+05:30,131.22,131.22,130.95,131.0,886746
2025-08-18 11:00:00+05:30,131.0,131.25,130.85,131.19,872679
2025-08-18 11:05:00+05:30,131.19,131.25,130.86,130.93,538746
2025-08-18 11:10:00+05:30,130.93,131.1,130.85,131.0,493170
2025-08-18 11:15:00+05:30,131.0,131.1,130.85,130.93,393321
2025-08-18 11:20:00+05:30,130.93,131.1,130.87,131.04,394455
2025-08-18 11:25:00+05:30,131.06,131.25,130.9,131.0,811744
2025-08-18 11:30:00+05:30,131.0,131.14,130.9,131.13,604410
2025-08-18 11:35:00+05:30,131.14,131.2,130.92,130.98,596728
2025-08-18 11:40:00+05:30,130.98,131.4,130.96,131.32,550293
2025-08-18 11:45:00+05:30,131.32,132.0,131.3,131.94,908284
2025-08-18 11:50:00+05:30,131.94,132.8,131.88,132.58,3162496
2025-08-18 11:55:00+05:30,132.56,132.59,132.0,132.05,1125271
2025-08-18 12:00:00+05:30,132.05,132.66,132.05,132.4,1105928
2025-08-18 12:05:00+05:30,132.4,132.64,132.13,132.6,764877
2025-08-18 12:10:00+05:30,132.6,132.6,131.91,132.01,780282
2025-08-18 12:15:00+05:30,132.05,132.06,131.72,131.85,693234
2025-08-18 12:20:00+05:30,131.86,132.0,131.7,131.95,479462
2025-08-18 12:25:00+05:30,131.95,131.95,131.57,131.65,487371
2025-08-18 12:30:00+05:30,131.65,131.84,131.58,131.7,355825
2025-08-18 12:35:00+05:30,131.7,131.75,131.57,131.68,304774
2025-08-18 12:40:00+05:30,131.68,131.88,131.62,131.83,299421
2025-08-18 12:45:00+05:30,131.84,132.0,131.8,131.86,530796
2025-08-18 12:50:00+05:30,131.86,132.1,131.85,131.92,371502
2025-08-18 12:55:00+05:30,131.92,131.92,131.4,131.61,723410
2025-08-18 13:00:00+05:30,131.6,131.77,131.46,131.61,366711
2025-08-18 13:05:00+05:30,131.63,131.9,131.45,131.9,397840
2025-08-18 13:10:00+05:30,131.9,131.97,131.8,131.83,333234
2025-08-18 13:15:00+05:30,131.89,132.17,131.82,132.05,574280
2025-08-18 13:20:00+05:30,132.05,132.15,131.95,132.04,294231
2025-08-18 13:25:00+05:30,132.05,132.41,132.01,132.2,667280
2025-08-18 13:30:00+05:30,132.19,132.3,132.07,132.3,431864
2025-08-18 13:35:00+05:30,132.17,132.24,132.06,132.11,341181
2025-08-18 13:40:00+05:30,132.11,132.21,131.92,131.95,346522
2025-08-18 13:45:00+05:30,132.0,132.08,131.91,131.95,353404
2025-08-18 13:50:00+05:30,131.94,132.08,131.94,132.01,235681
2025-08-18 13:55:00+05:30,132.05,132.05,131.64,131.7,414919
2025-08-18 14:00:00+05:30,131.71,131.74,131.33,131.62,769923
2025-08-18 14:05:00+05:30,131.62,131.7,131.54,131.6,277900
2025-08-18 14:10:00+05:30,131.6,131.73,131.57,131.66,440399
2025-08-18 14:15:00+05:30,131.7,131.78,131.5,131.65,504410
2025-08-18 14:20:00+05:30,131.65,131.74,131.6,131.65,243190
2025-08-18 14:25:00+05:30,131.65,131.7,131.6,131.6,357117
2025-08-18 14:30:00+05:30,131.6,131.7,131.58,131.6,528377
2025-08-18 14:35:00+05:30,131.6,131.61,131.4,131.53,1017758
2025-08-18 14:40:00+05:30,131.5,131.98,131.5,131.83,847351
2025-08-18 14:45:00+05:30,131.87,131.92,131.66,131.9,354082
2025-08-18 14:50:00+05:30,131.88,132.0,131.6,131.67,1160070
2025-08-18 14:55:00+05:30,131.7,131.88,131.66,131.88,511381
2025-08-18 15:00:00+05:30,131.88,131.88,131.6,131.69,699907
2025-08-18 15:05:00+05:30,131.69,131.73,131.55,131.64,705368
2025-08-18 15:10:00+05:30,131.64,131.89,131.6,131.8,973640
2025-08-18 15:15:00+05:30,131.7,131.85,131.6,131.78,1775503
2025-08-18 15:20:00+05:30,131.75,131.8,131.65,131.71,1227299
2025-08-18 15:25:00+05:30,131.7,132.09,131.66,131.9,1259254
2025-08-19 09:15:00+05:30,131.76,131.76,129.02,129.12,2304416
2025-08-19 09:20:00+05:30,129.16,129.18,127.11,128.06,2006786
2025-08-19 09:25:00+05:30,128.01,128.51,127.7,128.28,1086802
2025-08-19 09:30:00+05:30,128.29,128.7,127.61,128.66,768562
2025-08-19 09:35:00+05:30,128.7,128.8,128.48,128.7,746725
2025-08-19 09:40:00+05:30,128.74,129.12,128.7,128.84,1075906
2025-08-19 09:45:00+05:30,128.84,129.46,128.54,129.4,737826
2025-08-19 09:50:00+05:30,129.4,130.16,129.38,129.83,1057035
2025-08-19 09:55:00+05:30,129.83,130.24,129.66,130.04,600682
2025-08-19 10:00:00+05:30,130.04,130.09,129.79,129.99,245604
2025-08-19 10:05:00+05:30,129.99,130.19,129.9,129.95,835315
2025-08-19 10:10:00+05:30,129.96,130.39,129.86,130.05,390855
2025-08-19 10:15:00+05:30,130.05,130.9,130.01,130.7,696185
2025-08-19 10:20:00+05:30,130.66,130.75,130.23,130.71,653765
2025-08-19 10:25:00+05:30,130.73,131.16,130.69,131.02,603549
2025-08-19 10:30:00+05:30,131.02,131.1,130.61,131.0,422459
2025-08-19 10:35:00+05:30,131.08,131.08,130.62,130.81,293593
2025-08-19 10:40:00+05:30,130.84,130.98,130.77,130.98,138295
2025-08-19 10:45:00+05:30,130.98,131.1,130.95,131.06,258157
2025-08-19 10:50:00+05:30,131.06,131.15,130.71,130.89,291999
2025-08-19 10:55:00+05:30,130.89,130.94,130.71,130.74,119078
2025-08-19 11:00:00+05:30,130.74,130.74,130.52,130.59,269084
2025-08-19 11:05:00+05:30,130.56,130.8,130.52,130.75,135513
2025-08-19 11:10:00+05:30,130.74,131.02,130.6,131.0,189887
2025-08-19 11:15:00+05:30,131.03,131.12,130.72,130.81,259489
2025-08-19 11:20:00+05:30,130.81,131.0,130.72,130.96,190714
2025-08-19 11:25:00+05:30,130.91,130.97,130.67,130.79,127529
2025-08-19 11:30:00+05:30,130.78,130.8,130.5,130.62,206655
2025-08-19 11:35:00+05:30,130.62,131.4,130.62,131.19,544297
2025-08-19 11:40:00+05:30,131.19,131.55,131.18,131.45,599892
2025-08-19 11:45:00+05:30,131.45,131.58,131.33,131.55,324020
2025-08-19 11:50:00+05:30,131.51,131.65,131.38,131.43,285584
2025-08-19 11:55:00+05:30,131.43,131.51,131.41,131.48,121448
2025-08-19 12:00:00+05:30,131.48,131.74,131.4,131.72,317172
2025-08-19 12:05:00+05:30,131.72,131.95,131.7,131.95,454444
2025-08-19 12:10:00+05:30,131.95,132.1,131.83,131.97,755878
2025-08-19 12:15:00+05:30,131.95,132.12,131.86,131.94,393168
2025-08-19 12:20:00+05:30,131.94,132.13,131.82,132.03,598356
2025-08-19 12:25:00+05:30,132.03,132.15,132.0,132.12,280458
2025-08-19 12:30:00+05:30,132.12,132.25,131.93,131.97,359142
2025-08-19 12:35:00+05:30,131.97,132.15,131.89,132.05,162464
2025-08-19 12:40:00+05:30,132.05,132.3,132.02,132.11,491448
2025-08-19 12:45:00+05:30,132.12,132.29,132.01,132.17,401273
2025-08-19 12:50:00+05:30,132.17,132.26,132.15,132.21,170798
2025-08-19 12:55:00+05:30,132.25,132.55,132.24,132.38,679908
2025-08-19 13:00:00+05:30,132.38,132.71,132.17,132.7,477461
2025-08-19 13:05:00+05:30,132.65,133.0,132.58,132.7,525440
2025-08-19 13:10:00+05:30,132.7,132.76,132.52,132.55,286527
2025-08-19 13:15:00+05:30,132.55,132.8,132.49,132.65,195985
2025-08-19 13:20:00+05:30,132.6,132.71,132.57,132.65,113526
2025-08-19 13:25:00+05:30,132.64,132.65,132.47,132.5,144459
2025-08-19 13:30:00+05:30,132.49,132.5,131.89,132.2,857052
2025-08-19 13:35:00+05:30,132.16,132.24,131.86,131.87,218820
2025-08-19 13:40:00+05:30,131.81,131.95,131.81,131.9,207483
2025-08-19 13:45:00+05:30,131.9,131.98,131.76,131.83,287621
2025-08-19 13:50:00+05:30,131.82,132.19,131.82,132.15,693440
2025-08-19 13:55:00+05:30,132.14,132.18,132.0,132.03,706703
2025-08-19 14:00:00+05:30,132.06,132.13,132.0,132.0,199364
2025-08-19 14:05:00+05:30,132.0,132.17,132.0,132.14,501108
2025-08-19 14:10:00+05:30,132.14,132.45,132.09,132.35,549582
2025-08-19 14:15:00+05:30,132.35,132.6,132.27,132.54,294375
2025-08-19 14:20:00+05:30,132.55,132.62,132.5,132.53,271892
2025-08-19 14:25:00+05:30,132.58,132.8,132.5,132.71,316059
2025-08-19 14:30:00+05:30,132.72,132.88,132.66,132.84,340609
2025-08-19 14:35:00+05:30,132.84,132.97,132.84,132.94,483048
2025-08-19 14:40:00+05:30,132.93,133.07,132.91,132.92,825561
2025-08-19 14:45:00+05:30,132.92,133.02,132.75,132.97,482638
2025-08-19 14:50:00+05:30,133.01,133.02,132.68,132.78,590679
2025-08-19 14:55:00+05:30,132.79,132.92,132.67,132.9,458197
