datetime,open,high,low,close,volume
2025-08-18 09:15:00+05:30,43.0,43.03,42.09,42.89,13917529
2025-08-18 09:20:00+05:30,42.9,42.92,42.5,42.59,5476459
2025-08-18 09:25:00+05:30,42.59,42.59,42.26,42.3,3668055
2025-08-18 09:30:00+05:30,42.31,42.54,42.29,42.42,2682457
2025-08-18 09:35:00+05:30,42.41,42.41,42.1,42.22,2960833
2025-08-18 09:40:00+05:30,42.22,42.23,41.95,42.16,3995502
2025-08-18 09:45:00+05:30,42.15,42.25,42.03,42.18,1570288
2025-08-18 09:50:00+05:30,42.17,42.33,42.02,42.04,2008775
2025-08-18 09:55:00+05:30,42.04,42.1,41.91,42.09,1560084
2025-08-18 10:00:00+05:30,42.06,42.39,42.05,42.3,1538758
2025-08-18 10:05:00+05:30,42.29,42.4,42.29,42.31,1917399
2025-08-18 10:10:00+05:30,42.32,42.4,42.23,42.32,846102
2025-08-18 10:15:00+05:30,42.34,42.39,42.22,42.39,1136910
2025-08-18 10:20:00+05:30,42.39,42.4,42.28,42.3,1332126
2025-08-18 10:25:00+05:30,42.27,42.32,42.01,42.08,1513965
2025-08-18 10:30:00+05:30,42.08,42.13,41.94,41.95,1229563
2025-08-18 10:35:00+05:30,41.95,42.0,41.93,42.0,586308
2025-08-18 10:40:00+05:30,42.0,42.01,41.96,41.96,930694
2025-08-18 10:45:00+05:30,41.96,42.0,41.95,42.0,290868
2025-08-18 10:50:00+05:30,42.0,42.01,41.96,41.97,270676
2025-08-18 10:55:00+05:30,41.98,41.98,41.85,41.89,1161111
2025-08-18 11:00:00+05:30,41.88,41.97,41.88,41.94,321562
2025-08-18 11:05:00+05:30,41.94,41.95,41.88,41.88,260209
2025-08-18 11:10:00+05:30,41.9,41.96,41.83,41.95,524106
2025-08-18 11:15:00+05:30,41.95,41.95,41.85,41.87,312928
2025-08-18 11:20:00+05:30,41.87,41.9,41.84,41.9,261520
2025-08-18 11:25:00+05:30,41.9,41.9,41.87,41.88,177168
2025-08-18 11:30:00+05:30,41.88,41.9,41.71,41.72,912084
2025-08-18 11:35:00+05:30,41.72,41.73,41.6,41.61,1331784
2025-08-18 11:40:00+05:30,41.61,41.61,41.44,41.48,2892189
2025-08-18 11:45:00+05:30,41.48,41.5,41.33,41.48,1005723
2025-08-18 11:50:00+05:30,41.47,41.49,41.44,41.49,363534
2025-08-18 11:55:00+05:30,41.49,41.5,41.32,41.41,834883
2025-08-18 12:00:00+05:30,41.37,41.41,41.3,41.34,864361
2025-08-18 12:05:00+05:30,41.35,41.35,41.05,41.07,2555662
2025-08-18 12:10:00+05:30,41.06,41.17,41.06,41.13,791004
2025-08-18 12:15:00+05:30,41.13,41.13,41.0,41.01,2132657
2025-08-18 12:20:00+05:30,41.01,41.02,40.83,40.91,1614339
2025-08-18 12:25:00+05:30,40.9,41.04,40.88,40.97,576349
2025-08-18 12:30:00+05:30,40.97,40.99,40.85,40.97,787133
2025-08-18 12:35:00+05:30,40.97,41.04,40.91,41.04,515156
2025-08-18 12:40:00+05:30,41.04,41.19,41.02,41.11,825239
2025-08-18 12:45:00+05:30,41.11,41.25,41.11,41.15,855918
2025-08-18 12:50:00+05:30,41.12,41.16,41.07,41.1,420065
2025-08-18 12:55:00+05:30,41.1,41.19,41.06,41.12,417612
2025-08-18 13:00:00+05:30,41.12,41.15,41.11,41.12,202087
2025-08-18 13:05:00+05:30,41.12,41.14,41.11,41.12,155272
2025-08-18 13:10:00+05:30,41.11,41.2,41.1,41.16,303959
2025-08-18 13:15:00+05:30,41.18,41.18,41.12,41.15,260067
2025-08-18 13:20:00+05:30,41.15,41.22,41.13,41.21,375302
2025-08-18 13:25:00+05:30,41.2,41.38,41.18,41.36,879952
2025-08-18 13:30:00+05:30,41.36,41.38,41.2,41.25,743697
2025-08-18 13:35:00+05:30,41.25,41.26,41.2,41.23,306801
2025-08-18 13:40:00+05:30,41.23,41.24,41.16,41.18,395143
2025-08-18 13:45:00+05:30,41.18,41.23,41.15,41.17,193528
2025-08-18 13:50:00+05:30,41.17,41.18,41.12,41.14,388709
2025-08-18 13:55:00+05:30,41.14,41.25,41.13,41.22,482227
2025-08-18 14:00:00+05:30,41.22,41.23,41.17,41.23,133860
2025-08-18 14:05:00+05:30,41.23,41.25,41.18,41.2,181380
2025-08-18 14:10:00+05:30,41.2,41.22,41.18,41.2,207120
2025-08-18 14:15:00+05:30,41.19,41.39,41.19,41.38,1372169
2025-08-18 14:20:00+05:30,41.38,41.38,41.24,41.26,661687
2025-08-18 14:25:00+05:30,41.26,41.29,41.21,41.29,219196
2025-08-18 14:30:00+05:30,41.29,41.29,41.26,41.26,229523
2025-08-18 14:35:00+05:30,41.28,41.29,41.14,41.21,831527
2025-08-18 14:40:00+05:30,41.23,41.23,41.13,41.14,632284
2025-08-18 14:45:00+05:30,41.1,41.25,41.1,41.24,490821
2025-08-18 14:50:00+05:30,41.24,41.25,41.19,41.2,278218
2025-08-18 14:55:00+05:30,41.2,41.21,41.13,41.17,446031
2025-08-18 15:00:00+05:30,41.17,41.17,41.05,41.09,989447
2025-08-18 15:05:00+05:30,41.1,41.17,41.08,41.14,1571027
2025-08-18 15:10:00+05:30,41.14,41.19,41.14,41.15,1049857
2025-08-18 15:15:00+05:30,41.16,41.3,41.15,41.29,3152411
2025-08-18 15:20:00+05:30,41.3,41.37,41.24,41.34,3050310
2025-08-18 15:25:00+05:30,41.34,41.38,41.33,41.34,1305084
