datetime,open,high,low,close,volume
2025-08-18 09:15:00+05:30,61.5,61.64,60.4,60.61,6914105
2025-08-18 09:20:00+05:30,60.58,60.77,60.58,60.65,1664443
2025-08-18 09:25:00+05:30,60.65,60.65,60.2,60.37,2979407
2025-08-18 09:30:00+05:30,60.37,60.37,60.12,60.23,1733746
2025-08-18 09:35:00+05:30,60.21,60.28,60.11,60.26,1176173
2025-08-18 09:40:00+05:30,60.28,60.28,60.06,60.12,1675233
2025-08-18 09:45:00+05:30,60.13,60.29,60.0,60.28,2158914
2025-08-18 09:50:00+05:30,60.21,60.28,60.2,60.24,1196616
2025-08-18 09:55:00+05:30,60.24,60.33,60.21,60.32,797753
2025-08-18 10:00:00+05:30,60.32,60.34,60.27,60.33,421700
2025-08-18 10:05:00+05:30,60.35,60.4,60.33,60.37,583065
2025-08-18 10:10:00+05:30,60.37,60.37,60.29,60.29,649000
2025-08-18 10:15:00+05:30,60.3,60.33,60.28,60.33,346858
2025-08-18 10:20:00+05:30,60.32,60.33,60.27,60.29,335561
2025-08-18 10:25:00+05:30,60.27,60.28,60.1,60.13,835700
2025-08-18 10:30:00+05:30,60.13,60.13,59.35,59.37,4779990
2025-08-18 10:35:00+05:30,59.4,59.63,59.35,59.59,2268366
2025-08-18 10:40:00+05:30,59.56,59.59,59.46,59.46,1513196
2025-08-18 10:45:00+05:30,59.44,59.5,59.27,59.34,2064966
2025-08-18 10:50:00+05:30,59.32,59.34,58.7,58.82,5822477
2025-08-18 10:55:00+05:30,58.8,58.99,58.65,58.99,2957849
2025-08-18 11:00:00+05:30,58.99,59.39,58.88,59.34,2645286
2025-08-18 11:05:00+05:30,59.36,59.36,59.01,59.04,1454118
2025-08-18 11:10:00+05:30,59.03,59.05,58.72,58.79,3100790
2025-08-18 11:15:00+05:30,58.74,58.82,58.66,58.66,1555533
2025-08-18 11:20:00+05:30,58.67,58.69,58.5,58.51,3664853
2025-08-18 11:25:00+05:30,58.51,58.65,58.51,58.59,2678938
2025-08-18 11:30:00+05:30,58.6,58.62,58.4,58.43,2231979
2025-08-18 11:35:00+05:30,58.44,58.45,58.23,58.4,4840209
2025-08-18 11:40:00+05:30,58.4,58.43,58.22,58.29,2003926
2025-08-18 11:45:00+05:30,58.29,58.43,58.2,58.22,1709830
2025-08-18 11:50:00+05:30,58.21,58.29,57.89,57.99,5504828
2025-08-18 11:55:00+05:30,57.99,57.99,57.58,57.88,3880932
2025-08-18 12:00:00+05:30,57.88,57.88,57.6,57.78,1992775
2025-08-18 12:05:00+05:30,57.78,57.83,57.3,57.38,4787447
2025-08-18 12:10:00+05:30,57.36,57.42,56.89,56.96,5870091
2025-08-18 12:15:00+05:30,57.0,57.22,56.95,57.15,3837238
2025-08-18 12:20:00+05:30,57.14,57.18,56.62,56.83,4472597
2025-08-18 12:25:00+05:30,56.83,56.98,56.75,56.94,3532457
2025-08-18 12:30:00+05:30,56.97,57.14,56.9,56.99,4034337
2025-08-18 12:35:00+05:30,56.97,57.5,56.93,57.44,3510374
2025-08-18 12:40:00+05:30,57.44,57.9,57.42,57.84,5400081
2025-08-18 12:45:00+05:30,57.84,57.96,57.68,57.94,2939678
2025-08-18 12:50:00+05:30,57.97,58.14,57.8,57.8,4608470
2025-08-18 12:55:00+05:30,57.8,57.95,57.76,57.76,1401518
2025-08-18 13:00:00+05:30,57.78,57.9,57.76,57.79,1080605
2025-08-18 13:05:00+05:30,57.8,57.83,57.68,57.78,1087050
2025-08-18 13:10:00+05:30,57.78,57.89,57.6,57.86,1775926
2025-08-18 13:15:00+05:30,57.86,57.99,57.75,57.8,1173476
2025-08-18 13:20:00+05:30,57.78,57.86,57.73,57.8,620576
2025-08-18 13:25:00+05:30,57.8,57.88,57.77,57.88,545391
2025-08-18 13:30:00+05:30,57.88,57.92,57.78,57.83,986604
2025-08-18 13:35:00+05:30,57.82,57.84,57.71,57.8,461540
2025-08-18 13:40:00+05:30,57.8,57.9,57.79,57.9,679338
2025-08-18 13:45:00+05:30,57.89,57.96,57.8,57.85,907471
2025-08-18 13:50:00+05:30,57.85,57.9,57.82,57.89,454407
2025-08-18 13:55:00+05:30,57.9,57.97,57.83,57.86,645631
2025-08-18 14:00:00+05:30,57.86,58.01,57.81,57.95,1460036
2025-08-18 14:05:00+05:30,57.95,57.99,57.92,57.97,594769
2025-08-18 14:10:00+05:30,57.97,57.98,57.91,57.96,852020
2025-08-18 14:15:00+05:30,57.96,58.02,57.96,57.99,1130790
2025-08-18 14:20:00+05:30,58.0,58.02,57.97,57.97,590758
2025-08-18 14:25:00+05:30,57.99,58.0,57.97,57.99,526057
2025-08-18 14:30:00+05:30,57.99,58.0,57.84,57.84,1111102
2025-08-18 14:35:00+05:30,57.85,57.9,57.84,57.89,700808
2025-08-18 14:40:00+05:30,57.9,57.9,57.83,57.83,905503
2025-08-18 14:45:00+05:30,57.84,57.98,57.77,57.94,2159322
2025-08-18 14:50:00+05:30,57.95,57.99,57.9,57.91,827039
2025-08-18 14:55:00+05:30,57.9,57.92,57.86,57.9,1038077
2025-08-18 15:00:00+05:30,57.9,57.9,57.66,57.68,2281082
2025-08-18 15:05:00+05:30,57.68,57.83,57.5,57.83,3528452
2025-08-18 15:10:00+05:30,57.86,58.55,57.84,58.52,10090320
2025-08-18 15:15:00+05:30,58.51,58.57,57.95,57.99,5718209
2025-08-18 15:20:00+05:30,57.99,58.15,57.94,57.98,4336012
2025-08-18 15:25:00+05:30,57.96,58.1,57.96,58.09,1880635
2025-08-19 09:15:00+05:30,58.25,58.43,57.72,58.39,5660036
2025-08-19 09:20:00+05:30,58.38,58.4,58.21,58.39,1962618
2025-08-19 09:25:00+05:30,58.38,58.54,58.1,58.13,3809972
2025-08-19 09:30:00+05:30,58.12,58.2,57.8,58.05,3730358
2025-08-19 09:35:00+05:30,58.09,58.4,57.94,58.21,3201158
2025-08-19 09:40:00+05:30,58.22,58.29,58.15,58.18,1472165
2025-08-19 09:45:00+05:30,58.18,58.23,57.98,58.19,1112440
2025-08-19 09:50:00+05:30,58.19,58.22,58.0,58.02,1015813
2025-08-19 09:55:00+05:30,58.03,58.15,58.01,58.09,698293
2025-08-19 10:00:00+05:30,58.09,58.14,58.08,58.14,699780
2025-08-19 10:05:00+05:30,58.14,58.4,58.08,58.35,1404447
2025-08-19 10:10:00+05:30,58.35,58.44,58.25,58.3,1311617
2025-08-19 10:15:00+05:30,58.3,58.44,58.17,58.34,1135232
2025-08-19 10:20:00+05:30,58.34,58.46,58.34,58.45,743096
2025-08-19 10:25:00+05:30,58.44,58.47,58.32,58.44,1106450
2025-08-19 10:30:00+05:30,58.44,58.49,58.35,58.47,713875
2025-08-19 10:35:00+05:30,58.46,58.5,58.43,58.49,864516
2025-08-19 10:40:00+05:30,58.49,58.7,58.47,58.6,2343316
2025-08-19 10:45:00+05:30,58.6,58.61,58.41,58.44,872849
2025-08-19 10:50:00+05:30,58.43,58.49,58.4,58.45,713533
2025-08-19 10:55:00+05:30,58.45,58.48,58.38,58.48,552828
2025-08-19 11:00:00+05:30,58.48,58.62,58.46,58.6,791944
2025-08-19 11:05:00+05:30,58.6,58.72,58.59,58.7,841860
2025-08-19 11:10:00+05:30,58.72,58.75,58.65,58.71,1011849
2025-08-19 11:15:00+05:30,58.72,58.77,58.71,58.77,438841
2025-08-19 11:20:00+05:30,58.76,58.99,58.75,58.96,1654761
2025-08-19 11:25:00+05:30,58.95,59.0,58.9,58.96,1855168
2025-08-19 11:30:00+05:30,59.02,59.14,58.91,59.08,1919473
2025-08-19 11:35:00+05:30,59.08,59.19,59.02,59.03,1918080
2025-08-19 11:40:00+05:30,59.03,59.14,59.0,59.06,1826906
2025-08-19 11:45:00+05:30,59.07,59.15,59.03,59.12,793915
2025-08-19 11:50:00+05:30,59.13,59.18,59.13,59.16,733562
2025-08-19 11:55:00+05:30,59.16,59.17,59.07,59.08,727619
2025-08-19 12:00:00+05:30,59.1,59.25,59.03,59.23,1416320
2025-08-19 12:05:00+05:30,59.23,59.44,59.18,59.42,2374267
2025-08-19 12:10:00+05:30,59.42,59.5,59.3,59.31,2895571
2025-08-19 12:15:00+05:30,59.31,59.33,59.2,59.21,977656
2025-08-19 12:20:00+05:30,59.21,59.22,59.03,59.11,1468130
2025-08-19 12:25:00+05:30,59.11,59.12,58.91,58.91,2136026
2025-08-19 12:30:00+05:30,58.91,59.13,58.91,59.13,1169163
2025-08-19 12:35:00+05:30,59.13,59.13,59.03,59.06,578120
2025-08-19 12:40:00+05:30,59.06,59.08,58.94,58.95,714909
2025-08-19 12:45:00+05:30,58.96,59.0,58.95,59.0,579272
2025-08-19 12:50:00+05:30,59.0,59.1,58.99,59.02,685161
2025-08-19 12:55:00+05:30,59.02,59.04,58.99,59.02,703020
2025-08-19 13:00:00+05:30,59.02,59.1,59.01,59.08,499209
2025-08-19 13:05:00+05:30,59.1,59.15,59.03,59.06,581848
2025-08-19 13:10:00+05:30,59.06,59.06,59.0,59.02,391886
2025-08-19 13:15:00+05:30,59.03,59.1,59.01,59.06,414176
2025-08-19 13:20:00+05:30,59.06,59.08,59.03,59.08,385011
2025-08-19 13:25:00+05:30,59.06,59.09,58.96,58.99,711588
2025-08-19 13:30:00+05:30,58.99,58.99,58.86,58.94,1062331
