trade_date,direction,signal_candle_time,entry_candle_time,signal_index,entry_index,entry_price,orb_high,orb_low,signal_vwap,session_date
2025-08-18,BUY,2025-08-18 10:00:00+05:30,2025-08-18 10:05:00+05:30,9,10,130.97545499999998,130.54,125.1,129.20198364567366,2025-08-18
2025-08-19,BUY,2025-08-19 12:05:00+05:30,2025-08-19 12:10:00+05:30,34,35,132.015975,131.76,127.11,129.86851071902205,2025-08-19
2025-08-21,BUY,2025-08-21 10:25:00+05:30,2025-08-21 10:30:00+05:30,14,15,133.76684999999998,133.48,131.6,132.805984940643,2025-08-21
2025-08-21,SELL,2025-08-21 14:35:00+05:30,2025-08-21 14:40:00+05:30,64,65,131.464235,133.48,131.6,132.77346251301643,2025-08-21
2025-08-22,SELL,2025-08-22 09:30:00+05:30,2025-08-22 09:35:00+05:30,3,4,130.004965,132.1,130.15,130.74100906396427,2025-08-22
2025-08-26,SELL,2025-08-26 09:40:00+05:30,2025-08-26 09:45:00+05:30,5,6,129.95499,130.94,130.12,130.42760847193918,2025-08-26
2025-08-28,SELL,2025-08-28 13:00:00+05:30,2025-08-28 13:05:00+05:30,45,46,130.12490499999998,131.9,130.25,130.57465401229751,2025-08-28
2025-08-29,SELL,2025-08-29 09:30:00+05:30,2025-08-29 09:35:00+05:30,3,4,128.845545,130.24,129.2,129.49923917877976,2025-08-29
2025-09-01,SELL,2025-09-01 09:50:00+05:30,2025-09-01 09:55:00+05:30,7,8,126.826555,128.24,127.0,127.53233281052428,2025-09-01
2025-09-01,BUY,2025-09-01 14:40:00+05:30,2025-09-01 14:45:00+05:30,65,66,128.32413,128.24,127.0,127.18908503038698,2025-09-01
2025-09-02,BUY,2025-09-02 09:30:00+05:30,2025-09-02 09:35:00+05:30,3,4,129.414675,129.25,128.46,128.98957958564546,2025-09-02
2025-09-03,SELL,2025-09-03 10:15:00+05:30,2025-09-03 10:20:00+05:30,12,13,128.7356,132.38,128.81,129.67199478507322,2025-09-03
2025-09-05,BUY,2025-09-05 11:25:00+05:30,2025-09-05 11:30:00+05:30,26,27,131.02548000000002,130.59,128.24,129.93885771535594,2025-09-05
2025-09-08,BUY,2025-09-08 09:30:00+05:30,2025-09-08 09:35:00+05:30,3,4,134.28711,132.34,131.37,132.65354089506903,2025-09-08
2025-09-09,SELL,2025-09-09 09:30:00+05:30,2025-09-09 09:35:00+05:30,3,4,136.35179,137.7,136.6,136.96834085942163,2025-09-09
2025-09-10,SELL,2025-09-10 12:00:00+05:30,2025-09-10 12:05:00+05:30,33,34,132.703615,136.13,133.15,133.91303665259062,2025-09-10
2025-09-11,SELL,2025-09-11 10:30:00+05:30,2025-09-11 10:35:00+05:30,15,16,133.45324000000002,134.66,133.63,134.19927187665485,2025-09-11
2025-09-12,BUY,2025-09-12 09:30:00+05:30,2025-09-12 09:35:00+05:30,3,4,134.297115,133.72,132.77,133.4463260628935,2025-09-12
2025-09-15,SELL,2025-09-15 10:55:00+05:30,2025-09-15 11:00:00+05:30,20,21,133.982975,136.0,134.11,135.07001892964226,2025-09-15
