trade_date,direction,signal_candle_time,entry_candle_time,signal_index,entry_index,entry_price,orb_high,orb_low,signal_vwap,session_date
2025-08-18,SELL,2025-08-18 10:20:00+05:30,2025-08-18 10:25:00+05:30,13,14,1411.0941,1433.7,1413.6,1417.372144803484,2025-08-18
2025-08-19,BUY,2025-08-19 09:55:00+05:30,2025-08-19 10:00:00+05:30,8,9,1413.60645,1412.3,1402.4,1409.7435928487037,2025-08-19
2025-08-20,BUY,2025-08-20 09:40:00+05:30,2025-08-20 09:45:00+05:30,5,6,1433.21625,1431.4,1410.2,1426.3247957923018,2025-08-20
2025-08-22,SELL,2025-08-22 09:50:00+05:30,2025-08-22 09:55:00+05:30,7,8,1458.77025,1472.4,1461.0,1462.9400285801446,2025-08-22
2025-08-25,BUY,2025-08-25 09:30:00+05:30,2025-08-25 09:35:00+05:30,3,4,1491.3453,1488.7,1474.8,1484.4847515147455,2025-08-25
2025-08-26,BUY,2025-08-26 09:35:00+05:30,2025-08-26 09:40:00+05:30,4,5,1504.9521,1503.1,1487.5,1499.2134302838813,2025-08-26
2025-08-28,SELL,2025-08-28 10:10:00+05:30,2025-08-28 10:15:00+05:30,11,12,1473.8627,1497.2,1477.5,1481.5475832628183,2025-08-28
2025-08-29,SELL,2025-08-29 09:30:00+05:30,2025-08-29 09:35:00+05:30,3,4,1454.57235,1470.1,1456.3,1459.5269117644157,2025-08-29
2025-09-02,BUY,2025-09-02 11:45:00+05:30,2025-09-02 11:50:00+05:30,30,31,1472.83605,1471.2,1454.8,1463.878898962461,2025-09-02
2025-09-03,SELL,2025-09-03 09:45:00+05:30,2025-09-03 09:50:00+05:30,6,7,1447.3759499999999,1470.1,1450.7,1454.4401805033433,2025-09-03
2025-09-04,SELL,2025-09-04 09:40:00+05:30,2025-09-04 09:45:00+05:30,5,6,1439.5798499999999,1452.6,1443.8,1445.6777487364218,2025-09-04
2025-09-05,SELL,2025-09-05 10:05:00+05:30,2025-09-05 10:10:00+05:30,10,11,1428.98515,1441.5,1433.6,1436.5350372117398,2025-09-05
2025-09-05,SELL,2025-09-05 14:20:00+05:30,2025-09-05 14:25:00+05:30,61,62,1413.4929,1441.5,1433.6,1415.2348775760795,2025-09-05
2025-09-08,SELL,2025-09-08 09:55:00+05:30,2025-09-08 10:00:00+05:30,8,9,1411.0941,1427.1,1414.4,1417.4637593531238,2025-09-08
2025-09-09,BUY,2025-09-09 09:30:00+05:30,2025-09-09 09:35:00+05:30,3,4,1454.1267,1453.5,1441.3,1448.2647259619637,2025-09-09
2025-09-10,BUY,2025-09-10 10:00:00+05:30,2025-09-10 10:05:00+05:30,9,10,1495.4473500000001,1494.5,1477.3,1489.4769929294266,2025-09-10
2025-09-11,SELL,2025-09-11 09:50:00+05:30,2025-09-11 09:55:00+05:30,7,8,1479.3599499999998,1495.1,1480.7,1485.6294130082533,2025-09-11
2025-09-12,SELL,2025-09-12 09:40:00+05:30,2025-09-12 09:45:00+05:30,5,6,1490.95415,1510.2,1496.4,1501.413721456216,2025-09-12
2025-09-16,BUY,2025-09-16 15:05:00+05:30,2025-09-16 15:10:00+05:30,70,71,1481.5403999999999,1479.4,1471.7,1475.030761376831,2025-09-16
2025-09-17,BUY,2025-09-17 11:45:00+05:30,2025-09-17 11:50:00+05:30,30,31,1491.9456,1490.7,1481.9,1486.7696234475975,2025-09-17
2025-09-18,SELL,2025-09-18 10:10:00+05:30,2025-09-18 10:15:00+05:30,11,12,1510.54435,1522.1,1512.4,1517.4814691912613,2025-09-18
2025-09-19,SELL,2025-09-19 09:30:00+05:30,2025-09-19 09:35:00+05:30,3,4,1495.6518,1518.4,1498.1,1506.981417980502,2025-09-19
2025-09-22,BUY,2025-09-22 09:30:00+05:30,2025-09-22 09:35:00+05:30,3,4,1476.03765,1472.2,1450.6,1466.0971641992471,2025-09-22
2025-09-24,SELL,2025-09-24 10:40:00+05:30,2025-09-24 10:45:00+05:30,17,18,1454.57235,1465.0,1455.7,1459.912903390409,2025-09-24
2025-09-25,SELL,2025-09-25 12:35:00+05:30,2025-09-25 12:40:00+05:30,40,41,1456.3714499999999,1470.9,1457.3,1464.7323304428573,2025-09-25
