trade_date,direction,signal_candle_time,entry_candle_time,signal_index,entry_index,entry_price,orb_high,orb_low,signal_vwap,session_date
2025-08-18,SELL,2025-08-18 09:50:00+05:30,2025-08-18 09:55:00+05:30,7,8,42.01898,43.03,42.09,42.473897729627936,2025-08-18
2025-08-19,BUY,2025-08-19 09:30:00+05:30,2025-08-19 09:35:00+05:30,3,4,44.34216,43.68,41.4,43.28381157703414,2025-08-19
2025-08-20,BUY,2025-08-20 09:35:00+05:30,2025-08-20 09:40:00+05:30,4,5,48.44421,48.14,45.4,47.47198810850987,2025-08-20
2025-08-21,SELL,2025-08-21 09:35:00+05:30,2025-08-21 09:40:00+05:30,4,5,49.775099999999995,54.6,50.35,51.25485655772026,2025-08-21
2025-08-22,SELL,2025-08-22 11:50:00+05:30,2025-08-22 11:55:00+05:30,31,32,47.75611,49.6,48.15,48.816258860879174,2025-08-22
2025-08-25,BUY,2025-08-25 09:45:00+05:30,2025-08-25 09:50:00+05:30,6,7,48.314144999999996,48.15,46.65,47.483098450956675,2025-08-25
2025-08-26,BUY,2025-08-26 09:40:00+05:30,2025-08-26 09:45:00+05:30,5,6,48.86442,48.57,47.81,48.41469635114514,2025-08-26
2025-08-26,BUY,2025-08-26 13:55:00+05:30,2025-08-26 14:00:00+05:30,56,57,50.495235,48.57,47.81,50.45785125812155,2025-08-26
2025-08-28,BUY,2025-08-28 09:30:00+05:30,2025-08-28 09:35:00+05:30,3,4,52.44621,52.3,51.15,51.93374776247898,2025-08-28
2025-08-29,SELL,2025-08-29 14:40:00+05:30,2025-08-29 14:45:00+05:30,65,66,53.89304,57.5,54.32,55.92391672625268,2025-08-29
2025-09-01,BUY,2025-09-01 09:30:00+05:30,2025-09-01 09:35:00+05:30,3,4,56.88843,56.75,54.5,56.10585525596048,2025-09-01
2025-09-02,SELL,2025-09-02 10:00:00+05:30,2025-09-02 10:05:00+05:30,9,10,61.66915,65.45,62.9,63.88433021528137,2025-09-02
2025-09-03,SELL,2025-09-03 09:30:00+05:30,2025-09-03 09:35:00+05:30,3,4,61.129419999999996,63.7,62.0,62.520582885564764,2025-09-03
2025-09-03,BUY,2025-09-03 10:20:00+05:30,2025-09-03 10:25:00+05:30,13,14,63.961965,63.7,62.0,62.754543622779316,2025-09-03
2025-09-04,SELL,2025-09-04 09:30:00+05:30,2025-09-04 09:35:00+05:30,3,4,68.115925,71.25,68.34,69.26302523583679,2025-09-04
2025-09-05,SELL,2025-09-05 09:30:00+05:30,2025-09-05 09:35:00+05:30,3,4,61.229369999999996,64.72,61.52,62.40234377699235,2025-09-05
