trade_date,direction,signal_candle_time,entry_candle_time,signal_index,entry_index,entry_price,orb_high,orb_low,signal_vwap,session_date
2025-08-18,BUY,2025-08-18 09:35:00+05:30,2025-08-18 09:40:00+05:30,4,5,1394.79705,1391.0,1382.6,1387.8592743753081,2025-08-18
2025-08-18,SELL,2025-08-18 11:35:00+05:30,2025-08-18 11:40:00+05:30,28,29,1380.20955,1391.0,1382.6,1387.2058594585792,2025-08-18
2025-08-19,BUY,2025-08-19 09:45:00+05:30,2025-08-19 09:50:00+05:30,6,7,1412.6059500000001,1411.1,1389.1,1406.7319677836163,2025-08-19
2025-08-20,BUY,2025-08-20 09:40:00+05:30,2025-08-20 09:45:00+05:30,5,6,1419.4093500000001,1417.3,1411.0,1415.197392367221,2025-08-20
2025-08-21,BUY,2025-08-21 09:45:00+05:30,2025-08-21 09:50:00+05:30,6,7,1429.7145,1428.9,1420.3,1426.4671467392675,2025-08-21
2025-08-22,SELL,2025-08-22 11:10:00+05:30,2025-08-22 11:15:00+05:30,23,24,1413.6928,1423.4,1415.0,1417.5168088105036,2025-08-22
2025-08-25,SELL,2025-08-25 10:00:00+05:30,2025-08-25 10:05:00+05:30,9,10,1408.79525,1417.0,1409.7,1413.4995130863279,2025-08-25
2025-08-26,SELL,2025-08-26 09:45:00+05:30,2025-08-26 09:50:00+05:30,6,7,1400.6993,1410.0,1404.0,1405.9750003911554,2025-08-26
2025-08-28,BUY,2025-08-28 15:20:00+05:30,2025-08-28 15:25:00+05:30,73,74,1391.0952000000002,1389.9,1368.0,1380.3595489658294,2025-08-28
2025-08-29,SELL,2025-08-29 14:25:00+05:30,2025-08-29 14:30:00+05:30,62,63,1367.5159,1396.6,1381.1,1386.3932088002593,2025-08-29
2025-09-01,BUY,2025-09-01 12:30:00+05:30,2025-09-01 12:35:00+05:30,39,40,1358.37885,1357.0,1340.6,1351.7608159994134,2025-09-01
2025-09-02,BUY,2025-09-02 09:35:00+05:30,2025-09-02 09:40:00+05:30,4,5,1380.0897,1378.6,1354.5,1371.8948553484277,2025-09-02
2025-09-03,BUY,2025-09-03 12:10:00+05:30,2025-09-03 12:15:00+05:30,35,36,1373.8866,1372.5,1360.5,1366.9564206431164,2025-09-03
2025-09-04,SELL,2025-09-04 10:40:00+05:30,2025-09-04 10:45:00+05:30,17,18,1360.9191999999998,1374.0,1362.6,1366.4572542771941,2025-09-04
2025-09-05,SELL,2025-09-05 10:50:00+05:30,2025-09-05 10:55:00+05:30,19,20,1359.61985,1371.8,1363.0,1367.3777077748682,2025-09-05
2025-09-05,BUY,2025-09-05 14:40:00+05:30,2025-09-05 14:45:00+05:30,65,66,1373.2863,1371.8,1363.0,1369.2954247844789,2025-09-05
2025-09-08,BUY,2025-09-08 12:45:00+05:30,2025-09-08 12:50:00+05:30,42,43,1382.59095,1381.5,1373.5,1376.9057250147512,2025-09-08
2025-09-09,SELL,2025-09-09 10:05:00+05:30,2025-09-09 10:10:00+05:30,10,11,1374.9122,1381.2,1375.7,1377.428743456608,2025-09-09
2025-09-10,BUY,2025-09-10 09:40:00+05:30,2025-09-10 09:45:00+05:30,5,6,1388.19375,1384.4,1378.0,1382.0647565409533,2025-09-10
2025-09-11,BUY,2025-09-11 10:35:00+05:30,2025-09-11 10:40:00+05:30,16,17,1384.39185,1383.0,1375.0,1380.9562416828503,2025-09-11
2025-09-12,BUY,2025-09-12 09:40:00+05:30,2025-09-12 09:45:00+05:30,5,6,1391.7955499999998,1388.2,1380.5,1386.97182835303,2025-09-12
2025-09-15,SELL,2025-09-15 09:35:00+05:30,2025-09-15 09:40:00+05:30,4,5,1390.80425,1396.9,1392.1,1394.1794039782335,2025-09-15
2025-09-15,BUY,2025-09-15 13:55:00+05:30,2025-09-15 14:00:00+05:30,56,57,1397.6985,1396.9,1392.1,1394.5562235907528,2025-09-15
2025-09-16,BUY,2025-09-16 10:35:00+05:30,2025-09-16 10:40:00+05:30,16,17,1407.20325,1405.9,1400.0,1404.0193035983857,2025-09-16
2025-09-16,SELL,2025-09-16 13:30:00+05:30,2025-09-16 13:35:00+05:30,51,52,1398.5004000000001,1405.9,1400.0,1404.0148000078939,2025-09-16
2025-09-17,BUY,2025-09-17 11:50:00+05:30,2025-09-17 11:55:00+05:30,31,32,1413.40635,1412.5,1406.9,1410.6090198143563,2025-09-17
2025-09-18,SELL,2025-09-18 11:20:00+05:30,2025-09-18 11:25:00+05:30,25,26,1414.3924499999998,1422.0,1415.1,1417.7046998766155,2025-09-18
2025-09-19,SELL,2025-09-19 09:35:00+05:30,2025-09-19 09:40:00+05:30,4,5,1407.19605,1417.0,1408.1,1410.6735591910533,2025-09-19
2025-09-22,BUY,2025-09-22 09:45:00+05:30,2025-09-22 09:50:00+05:30,6,7,1409.5044,1408.6,1401.1,1406.172630476269,2025-09-22
2025-09-23,SELL,2025-09-23 09:40:00+05:30,2025-09-23 09:45:00+05:30,5,6,1384.9071999999999,1393.0,1387.0,1389.3282038072027,2025-09-23
2025-09-23,BUY,2025-09-23 14:20:00+05:30,2025-09-23 14:25:00+05:30,61,62,1393.99665,1393.0,1387.0,1385.422155629116,2025-09-23
2025-09-24,BUY,2025-09-24 11:25:00+05:30,2025-09-24 11:30:00+05:30,26,27,1390.5949500000002,1389.6,1383.2,1386.2823670391292,2025-09-24
2025-09-25,SELL,2025-09-25 12:00:00+05:30,2025-09-25 12:05:00+05:30,33,34,1373.313,1384.5,1374.3,1377.8178798799033,2025-09-25
2025-09-26,SELL,2025-09-26 09:30:00+05:30,2025-09-26 09:35:00+05:30,3,4,1365.7168000000001,1372.1,1367.2,1369.4496689036555,2025-09-26
2025-09-26,BUY,2025-09-26 14:10:00+05:30,2025-09-26 14:15:00+05:30,59,60,1377.4884,1372.1,1367.2,1376.191442908061,2025-09-26
2025-09-29,BUY,2025-09-29 09:35:00+05:30,2025-09-29 09:40:00+05:30,4,5,1385.59245,1384.7,1379.0,1383.3772612708424,2025-09-29
2025-09-29,SELL,2025-09-29 12:35:00+05:30,2025-09-29 12:40:00+05:30,40,41,1373.61285,1384.7,1379.0,1381.111950629843,2025-09-29
2025-09-30,SELL,2025-09-30 10:30:00+05:30,2025-09-30 10:35:00+05:30,15,16,1365.4169499999998,1377.1,1367.0,1369.4807454198726,2025-09-30
