SYMBOL,SL_MODE,FROZEN_ENTRIES,VALID_ENTRIES,INVALID_RISK_ENTRIES,TRADES,STOP_LOSS,TARGET,END_OF_DAY,WIN_RATE_PCT,TOTAL_PNL,AVG_PNL,PROFIT_FACTOR,MAX_DRAWDOWN,AVG_MFE_R,P90_MFE_R,AVG_MAE_R,P90_MAE_R
INFY,ORB,236,236,0,236,30,4,202,38.13559322033898,-735.5167913795235,-3.116596573642049,0.4754296718394244,779.1983648267981,0.5764856377331918,1.1982556728760976,0.5503487022118191,1.1506904856558802
INFY,ORB_50,236,236,0,236,106,51,79,35.16949152542373,-661.1253442494753,-2.8013785773282853,0.4995778193807278,673.6239989132251,1.3514219418532836,2.8438592914949465,1.2785830623882308,2.5433997545008724
INFY,VWAP_MIDDLE,236,235,1,235,115,51,69,33.61702127659574,-734.9438033399648,-3.127420439744531,0.444381160011828,738.9363452135833,1.4868699632498938,3.238433585360034,1.405763728346447,3.051140036032781
RELIANCE,ORB,295,295,0,295,75,12,208,27.11864406779661,-1189.2129787628264,-4.031230436484157,0.3728324927847884,1189.2129787628269,0.6120039596886897,1.3482922907582784,0.7589362459905354,1.723553432905829
RELIANCE,ORB_50,295,295,0,295,176,58,61,25.76271186440678,-1184.046659869801,-4.013717491084071,0.2889431962732168,1184.0466598698017,1.4823044782156138,3.308966846846859,1.8647111540844548,4.275587848932547
RELIANCE,VWAP_MIDDLE,295,295,0,295,165,58,72,26.440677966101696,-1172.3241249625826,-3.973980084618924,0.2854614982815871,1172.3241249625828,1.582417293174542,3.7801972410409657,1.804426009848405,4.1154097759482
ICICIBANK,ORB,270,270,0,270,62,7,201,30.37037037037037,-1093.7349475426522,-4.050870176083897,0.2993069435746998,1093.7349475426522,0.5945280372416386,1.2775017777777715,0.7538856349948297,1.5724135299571185
ICICIBANK,ORB_50,270,270,0,270,152,46,72,26.296296296296294,-1063.3669157301756,-3.9383959841858354,0.24919679658926008,1063.366915730176,1.4185982094192489,3.1834342512077014,1.8225868828685277,3.805264637230161
ICICIBANK,VWAP_MIDDLE,270,270,0,270,154,48,68,27.037037037037038,-1060.9544509667066,-3.929460929506321,0.2600631434968659,1060.9544509667073,1.4535387240106064,3.2367386791312054,1.8089667873602877,3.6278992900150717
TMPV,ORB,270,270,0,270,57,16,197,33.7037037037037,-302.5941167813624,-1.120718951042083,0.49284374799613584,316.82063053859986,0.6575640814515827,1.5164959559325402,0.6851377201112905,1.5026132213407257
TMPV,ORB_50,270,269,1,269,135,59,75,31.970260223048324,-261.1822999038374,-0.9709379178581317,0.451526274903679,266.1068553519375,1.5671394664024494,3.3399161990950472,1.655258266981971,3.441066959122721
TMPV,VWAP_MIDDLE,270,269,1,269,150,51,68,30.483271375464682,-307.54747870714,-1.1432991773499628,0.36518097712921255,309.23204650379085,2.062376314954606,4.229878936691319,2.2998042491461868,4.094535326967154
ASHOKLEY,ORB,255,255,0,255,51,11,193,39.6078431372549,-97.58725630631254,-0.3826951227698531,0.6163838139777092,99.19507750631251,0.6345408125912809,1.4738439477869232,0.6548715677989464,1.4780481593636463
ASHOKLEY,ORB_50,255,255,0,255,118,57,80,37.64705882352941,-81.64161178001268,-0.3201631834510301,0.5996152719379435,83.24943298001273,1.5297525604648456,3.822758736842123,1.536861201653017,3.489414890885694
ASHOKLEY,VWAP_MIDDLE,255,255,0,255,121,60,74,37.254901960784316,-76.47524077185494,-0.2999029049876664,0.5975522810616183,78.65630464548126,1.6748458225530884,3.7241217681085335,1.7348134282256915,4.251043684865402
OLAELEC,ORB,271,271,0,271,58,21,192,48.708487084870846,6.527414216189915,0.024086399321734005,1.0734011497102875,16.19707313988,0.757230050492825,1.6953124999999956,0.7162592086945567,1.7046301618794983
OLAELEC,ORB_50,271,271,0,271,130,66,75,42.066420664206646,-13.843931466360038,-0.05108461795704811,0.8235274283171164,20.05437396808502,1.844881562247116,4.134034482758732,1.7693585773326215,4.338113207547159
OLAELEC,VWAP_MIDDLE,271,271,0,271,129,75,67,40.959409594095945,-23.046839162938973,-0.08504368694811429,0.6863999344265576,27.018784041956525,2.526980622273123,5.771075906464999,2.0675868112977986,5.097580990540821
SUZLON,ORB,283,283,0,283,73,9,201,38.16254416961131,-40.069846342447505,-0.14158956304751769,0.5760259264070305,43.698298980045024,0.6735499907969106,1.6185914778935167,0.7003125882642476,1.560553108247487
SUZLON,ORB_50,283,283,0,283,147,62,74,32.86219081272085,-35.867424253057564,-0.12674001502847196,0.5249881488679624,37.557411510240044,1.60368455794675,3.6305610909091017,1.6516474680631903,3.7509282448979984
SUZLON,VWAP_MIDDLE,283,283,0,283,154,61,68,32.15547703180212,-37.357997908917625,-0.13200705974882554,0.5044517340924917,38.41418132406092,1.7801531903556664,3.6546861891944515,1.7699885950470085,3.9218254619031385
