trade_date,symbol,entries,buys,sells
2025-08-18,ASHOKLEY,1,0,1
2025-08-18,INFY,2,1,1
2025-08-18,OLAELEC,3,2,1
2025-08-18,RELIANCE,2,1,1
2025-08-18,SUZLON,5,3,2
2025-08-18,TMPV,5,2,3
2025-08-19,ASHOKLEY,2,1,1
2025-08-19,ICICIBANK,4,2,2
2025-08-19,INFY,2,1,1
2025-08-19,OLAELEC,2,1,1
2025-08-19,RELIANCE,1,1,0
2025-08-19,TMPV,1,1,0
2025-08-20,ASHOKLEY,5,2,3
2025-08-20,ICICIBANK,5,2,3
2025-08-20,INFY,3,2,1
2025-08-20,OLAELEC,2,1,1
2025-08-20,RELIANCE,7,3,4
2025-08-20,SUZLON,5,2,3
2025-08-20,TMPV,5,2,3
2025-08-21,ASHOKLEY,2,1,1
2025-08-21,ICICIBANK,3,2,1
2025-08-21,INFY,3,1,2
2025-08-21,OLAELEC,3,1,2
2025-08-21,RELIANCE,4,2,2
2025-08-21,TMPV,6,3,3
2025-08-22,ASHOKLEY,2,1,1
2025-08-22,ICICIBANK,3,1,2
2025-08-22,INFY,2,1,1
2025-08-22,RELIANCE,2,1,1
2025-08-22,SUZLON,5,3,2
2025-08-22,TMPV,2,1,1
2025-08-25,ASHOKLEY,6,3,3
2025-08-25,ICICIBANK,3,2,1
2025-08-25,INFY,2,1,1
2025-08-25,OLAELEC,4,2,2
2025-08-25,RELIANCE,6,3,3
2025-08-25,SUZLON,3,1,2
2025-08-25,TMPV,4,2,2
2025-08-26,ASHOKLEY,4,2,2
2025-08-26,ICICIBANK,5,2,3
2025-08-26,INFY,7,4,3
2025-08-26,OLAELEC,3,2,1
2025-08-26,SUZLON,5,3,2
2025-08-26,TMPV,2,1,1
2025-08-28,INFY,3,1,2
2025-08-28,OLAELEC,1,0,1
2025-08-28,RELIANCE,3,2,1
2025-08-28,SUZLON,5,2,3
2025-08-28,TMPV,5,3,2
2025-08-29,ASHOKLEY,2,1,1
2025-08-29,ICICIBANK,10,5,5
2025-08-29,OLAELEC,2,1,1
2025-08-29,RELIANCE,9,4,5
2025-08-29,SUZLON,2,1,1
2025-08-29,TMPV,3,1,2
2025-09-01,ASHOKLEY,5,3,2
2025-09-01,ICICIBANK,7,4,3
2025-09-01,INFY,7,4,3
2025-09-01,OLAELEC,1,1,0
2025-09-01,RELIANCE,2,1,1
2025-09-01,SUZLON,3,2,1
2025-09-01,TMPV,1,1,0
2025-09-02,ASHOKLEY,1,0,1
2025-09-02,ICICIBANK,3,1,2
2025-09-02,INFY,3,1,2
2025-09-02,OLAELEC,1,0,1
2025-09-02,RELIANCE,4,2,2
2025-09-02,SUZLON,1,0,1
2025-09-02,TMPV,1,0,1
2025-09-03,ASHOKLEY,1,1,0
2025-09-03,ICICIBANK,3,2,1
2025-09-03,INFY,7,4,3
2025-09-03,OLAELEC,5,3,2
2025-09-03,RELIANCE,9,5,4
2025-09-03,SUZLON,4,2,2
2025-09-03,TMPV,3,2,1
2025-09-04,ASHOKLEY,5,2,3
2025-09-04,ICICIBANK,3,1,2
