symbol,entry_minute,entries,buys,sells
ASHOKLEY,09:20,58,29,29
ASHOKLEY,09:25,16,6,10
ASHOKLEY,09:30,17,9,8
ASHOKLEY,09:35,9,3,6
ASHOKLEY,09:40,11,6,5
ASHOKLEY,09:45,6,5,1
ASHOKLEY,09:50,9,4,5
ASHOKLEY,09:55,11,5,6
ASHOKLEY,10:00,7,2,5
ASHOKLEY,10:05,10,6,4
ASHOKLEY,10:10,12,7,5
ASHOKLEY,10:15,11,2,9
ASHOKLEY,10:20,9,6,3
ASHOKLEY,10:25,11,7,4
ASHOKLEY,10:30,10,4,6
ASHOKLEY,10:35,11,9,2
ASHOKLEY,10:40,8,3,5
ASHOKLEY,10:45,9,3,6
ASHOKLEY,10:50,8,1,7
ASHOKLEY,10:55,4,2,2
ASHOKLEY,11:00,5,1,4
ASHOKLEY,11:05,6,2,4
ASHOKLEY,11:10,15,6,9
ASHOKLEY,11:15,8,5,3
ASHOKLEY,11:20,7,5,2
ASHOKLEY,11:25,12,7,5
ASHOKLEY,11:30,8,4,4
ASHOKLEY,11:35,12,5,7
ASHOKLEY,11:40,8,5,3
ASHOKLEY,11:45,16,5,11
ASHOKLEY,11:50,9,3,6
ASHOKLEY,11:55,7,2,5
ASHOKLEY,12:00,11,5,6
ASHOKLEY,12:05,9,7,2
ASHOKLEY,12:10,5,3,2
ASHOKLEY,12:15,6,1,5
ASHOKLEY,12:20,10,7,3
ASHOKLEY,12:25,7,6,1
ASHOKLEY,12:30,9,4,5
ASHOKLEY,12:35,6,2,4
ASHOKLEY,12:40,6,4,2
ASHOKLEY,12:45,7,2,5
ASHOKLEY,12:50,10,4,6
ASHOKLEY,12:55,9,6,3
ASHOKLEY,13:00,11,8,3
ASHOKLEY,13:05,18,11,7
ASHOKLEY,13:10,8,3,5
ASHOKLEY,13:15,7,4,3
ASHOKLEY,13:20,14,5,9
ASHOKLEY,13:25,9,8,1
ASHOKLEY,13:30,10,5,5
ASHOKLEY,13:35,11,7,4
ASHOKLEY,13:40,10,6,4
ASHOKLEY,13:45,13,6,7
ASHOKLEY,13:50,6,3,3
ASHOKLEY,13:55,11,5,6
ASHOKLEY,14:00,3,1,2
ASHOKLEY,14:05,10,4,6
ASHOKLEY,14:10,13,4,9
ASHOKLEY,14:15,9,3,6
ASHOKLEY,14:20,13,7,6
ASHOKLEY,14:25,12,7,5
ASHOKLEY,14:30,9,6,3
ASHOKLEY,14:35,14,7,7
ASHOKLEY,14:40,7,3,4
ASHOKLEY,14:45,19,7,12
ASHOKLEY,14:50,14,10,4
ASHOKLEY,14:55,17,10,7
ASHOKLEY,15:00,3,1,2
ASHOKLEY,15:05,14,9,5
ASHOKLEY,15:10,13,5,8
ASHOKLEY,15:15,12,8,4
ASHOKLEY,15:20,4,2,2
ASHOKLEY,15:25,6,1,5
ICICIBANK,09:20,45,22,23
ICICIBANK,09:25,31,18,13
ICICIBANK,09:30,12,8,4
ICICIBANK,09:35,7,1,6
ICICIBANK,09:40,5,3,2
ICICIBANK,09:45,8,5,3
ICICIBANK,09:50,12,4,8
ICICIBANK,09:55,5,4,1
ICICIBANK,10:00,3,1,2
ICICIBANK,10:05,8,4,4
ICICIBANK,10:10,3,1,2
ICICIBANK,10:15,3,2,1
ICICIBANK,10:20,14,7,7
ICICIBANK,10:25,5,3,2
ICICIBANK,10:30,8,4,4
ICICIBANK,10:35,9,5,4
ICICIBANK,10:40,15,10,5
ICICIBANK,10:45,13,7,6
ICICIBANK,10:50,9,7,2
ICICIBANK,10:55,7,3,4
ICICIBANK,11:00,8,2,6
ICICIBANK,11:05,4,2,2
ICICIBANK,11:10,9,2,7
ICICIBANK,11:15,5,2,3
ICICIBANK,11:20,6,1,5
ICICIBANK,11:25,5,2,3
ICICIBANK,11:30,7,4,3
ICICIBANK,11:35,9,8,1
ICICIBANK,11:40,8,3,5
ICICIBANK,11:45,14,4,10
ICICIBANK,11:50,14,7,7
ICICIBANK,11:55,10,5,5
ICICIBANK,12:00,12,4,8
ICICIBANK,12:05,16,6,10
ICICIBANK,12:10,9,7,2
ICICIBANK,12:15,10,6,4
ICICIBANK,12:20,12,9,3
ICICIBANK,12:25,11,4,7
ICICIBANK,12:30,13,6,7
ICICIBANK,12:35,16,10,6
ICICIBANK,12:40,13,8,5
ICICIBANK,12:45,14,9,5
ICICIBANK,12:50,12,9,3
ICICIBANK,12:55,7,4,3
ICICIBANK,13:00,13,6,7
ICICIBANK,13:05,11,3,8
ICICIBANK,13:10,9,7,2
ICICIBANK,13:15,12,4,8
ICICIBANK,13:20,6,5,1
ICICIBANK,13:25,5,2,3
ICICIBANK,13:30,9,4,5
ICICIBANK,13:35,5,2,3
ICICIBANK,13:40,11,6,5
ICICIBANK,13:45,11,4,7
ICICIBANK,13:50,9,5,4
ICICIBANK,13:55,15,7,8
ICICIBANK,14:00,7,3,4
ICICIBANK,14:05,9,6,3
ICICIBANK,14:10,12,6,6
ICICIBANK,14:15,20,11,9
ICICIBANK,14:20,11,8,3
ICICIBANK,14:25,17,6,11
ICICIBANK,14:30,20,10,10
ICICIBANK,14:35,9,4,5
ICICIBANK,14:40,9,6,3
ICICIBANK,14:45,8,5,3
ICICIBANK,14:50,14,3,11
ICICIBANK,14:55,11,4,7
