metric,column,direction,entries,mean,median,p25,p75,p90,p95
EMA_SPREAD,ema_spread_atr,ALL,5389,0.07674927897485918,0.050729535646496515,0.021667129319111026,0.09927706489387378,0.168473826184724,0.23531400047238357
EMA_SPREAD,ema_spread_atr,BUY,2689,0.08274867651757793,0.05271310815164418,0.02166686179432445,0.10690435575994577,0.18418527727390674,0.25839447464187676
EMA_SPREAD,ema_spread_atr,SELL,2700,0.07077432342212929,0.049091948049695355,0.021684346788788,0.09174463952706773,0.15358534652909017,0.2063648107756587
EMA21_SLOPE,ema21_slope_abs_atr,ALL,5389,0.11235621338880245,0.08892483025650638,0.05487146521811915,0.14086059948561525,0.21200942622531993,0.2867587255069493
EMA21_SLOPE,ema21_slope_abs_atr,BUY,2689,0.12129848649825284,0.09431580309436507,0.056746613109152265,0.1524468331327375,0.23773098756359373,0.3114255096644076
EMA21_SLOPE,ema21_slope_abs_atr,SELL,2700,0.10345037176239057,0.08490020174729092,0.0530390924985963,0.13046394463743946,0.18796268325493679,0.25404680638906
CROSSOVER_STRENGTH,ema_spread_change_abs_atr,ALL,5389,0.14934700033948833,0.11892893781166931,0.07293206350580275,0.18713239320191818,0.2824566797125022,0.3828663884623768
CROSSOVER_STRENGTH,ema_spread_change_abs_atr,BUY,2689,0.16126056061805763,0.12677485366057606,0.0755408231386896,0.20394266992634305,0.31050195494861915,0.41706899761932376
CROSSOVER_STRENGTH,ema_spread_change_abs_atr,SELL,2700,0.13748197678797988,0.11352056588837312,0.07081183895202717,0.172034086342577,0.25081797447393883,0.33460116005177315
PRICE_TO_EMA21,close_ema21_distance_atr,ALL,5389,1.1235621338880233,0.8892483025652229,0.5487146521802491,1.4086059948558984,2.120094262253313,2.8675872550695836
PRICE_TO_EMA21,close_ema21_distance_atr,BUY,2689,1.2129848649826707,0.943158030944835,0.5674661310916751,1.5244683313272809,2.3773098756360573,3.114255096644138
PRICE_TO_EMA21,close_ema21_distance_atr,SELL,2700,1.0345037176237613,0.8490020174730941,0.5303909249849346,1.3046394463736881,1.8796268325493939,2.540468063890981
PRICE_TO_EMA9,close_ema9_distance_atr,ALL,5389,1.0468128549131641,0.8292676539780294,0.5122443952184543,1.3092828813907242,1.9676646633645452,2.703485710395822
PRICE_TO_EMA9,close_ema9_distance_atr,BUY,2689,1.1302361884650929,0.884394132559253,0.530811643741359,1.4243598424332578,2.1984160951642795,2.9312522777533543
PRICE_TO_EMA9,close_ema9_distance_atr,SELL,2700,0.9637293942016321,0.7947639748696222,0.4961256052897365,1.2071004313211362,1.7522617459904632,2.321389740055377
DIRECTIONAL_EMA21_SLOPE,directional_ema21_slope_atr,ALL,5389,0.11235621338880245,0.08892483025650638,0.05487146521811915,0.14086059948561525,0.21200942622531993,0.2867587255069493
DIRECTIONAL_EMA21_SLOPE,directional_ema21_slope_atr,BUY,2689,0.12129848649825284,0.09431580309436507,0.056746613109152265,0.1524468331327375,0.23773098756359373,0.3114255096644076
DIRECTIONAL_EMA21_SLOPE,directional_ema21_slope_atr,SELL,2700,0.10345037176239057,0.08490020174729092,0.0530390924985963,0.13046394463743946,0.18796268325493679,0.25404680638906
DIRECTIONAL_CROSSOVER_CHANGE,directional_ema_spread_change_atr,ALL,5389,0.14934700033948833,0.11892893781166931,0.07293206350580275,0.18713239320191818,0.2824566797125022,0.3828663884623768
DIRECTIONAL_CROSSOVER_CHANGE,directional_ema_spread_change_atr,BUY,2689,0.16126056061805763,0.12677485366057606,0.0755408231386896,0.20394266992634305,0.31050195494861915,0.41706899761932376
DIRECTIONAL_CROSSOVER_CHANGE,directional_ema_spread_change_atr,SELL,2700,0.13748197678797988,0.11352056588837312,0.07081183895202717,0.172034086342577,0.25081797447393883,0.33460116005177315
