sl_mode,target_r,symbol,trades,total_net_r,avg_net_r,profit_factor,win_rate_pct,stop_loss,target,end_of_day,avg_mfe_r,avg_mae_r
ATR_14_X1,1.0,ASHOKLEY,775,-1086.0195496097776,-1.4013155478835841,0.030743525665235492,18.193548387096776,468,292,15,0.7570616209165681,1.0878882970113914
ATR_14_X1,1.0,ICICIBANK,811,-1807.1418689476716,-2.228288371082209,0.0021769083348030407,2.8360049321824907,587,213,11,0.532112222338558,1.1804644800543425
ATR_14_X1,1.0,INFY,758,-1411.7659672462214,-1.8624880834382869,0.009449606011588665,8.179419525065963,515,228,15,0.6189108038251347,1.1646858491139283
ATR_14_X1,1.0,OLAELEC,772,-722.7525709067841,-0.93620799340257,0.1348891514734693,32.512953367875646,461,294,17,0.8555934345352585,1.068813798082544
ATR_14_X1,1.0,RELIANCE,819,-1647.7680649213414,-2.011926819195777,0.004524117239514422,4.517704517704518,535,265,19,0.6474952292668833,1.1224015535940617
ATR_14_X1,1.0,SUZLON,738,-1061.2634051101995,-1.4380262941872621,0.029506964019734596,17.208672086720867,454,266,18,0.7172741024909222,1.103623633118047
ATR_14_X1,1.0,TMPV,716,-1166.9438911914863,-1.629809903898724,0.014746477427746627,11.731843575418994,449,250,17,0.6863425323740632,1.1057596355134531
ATR_14_X1,1.25,ASHOKLEY,775,-1080.1707319365382,-1.3937686863697267,0.06055905436807832,23.096774193548384,497,261,17,0.8070488925076986,1.1196667889670293
ATR_14_X1,1.25,ICICIBANK,811,-1804.6509401210428,-2.225216942196107,0.0068484764184975145,6.165228113440198,609,189,13,0.5726652181349687,1.202324143938045
ATR_14_X1,1.25,INFY,758,-1390.3239961669724,-1.834200522647721,0.022697284971903858,12.796833773087071,530,211,17,0.6801820114131002,1.181017760853523
ATR_14_X1,1.25,OLAELEC,772,-711.4811509876192,-0.9216077085331855,0.18462845855030519,32.64248704663213,488,265,19,0.9388886822624871,1.1163257697376712
ATR_14_X1,1.25,RELIANCE,819,-1647.8143705771017,-2.0119833584579996,0.012644494218378577,9.035409035409035,564,233,22,0.6960267997324459,1.1471435771749512
ATR_14_X1,1.25,SUZLON,738,-1046.826443905232,-1.4184640161317508,0.0584143920481729,22.76422764227642,475,241,22,0.7917015936620933,1.146849524350045
ATR_14_X1,1.25,TMPV,716,-1157.0539390331755,-1.6159971215547144,0.03336641054247667,16.899441340782122,471,225,20,0.7579821283618997,1.1294788076358417
ATR_14_X1,1.5,ASHOKLEY,775,-1105.1259198397881,-1.425968928825533,0.0865319158568134,24.903225806451612,532,223,20,0.8684731828020956,1.1598052674007269
ATR_14_X1,1.5,ICICIBANK,811,-1799.6690714939245,-2.219074070892632,0.014823872853396966,10.234278668310727,625,171,15,0.6127322935531402,1.2186851142409894
ATR_14_X1,1.5,INFY,758,-1395.9299327965819,-1.8415962174097387,0.038413331805555624,16.094986807387862,552,186,20,0.7299316392402212,1.20644774192019
ATR_14_X1,1.5,OLAELEC,772,-697.8250607100227,-0.9039184724223093,0.22585464159732105,30.958549222797927,507,240,25,0.9916988062969555,1.145504346567803
ATR_14_X1,1.5,RELIANCE,819,-1661.4679555787247,-2.0286544024160253,0.022128407962413412,11.965811965811966,589,196,34,0.7518193531517443,1.1697589602595115
ATR_14_X1,1.5,SUZLON,738,-1037.6092912268534,-1.40597464935888,0.08867263820420444,24.796747967479675,494,219,25,0.8569143129349398,1.1713675345746783
ATR_14_X1,1.5,TMPV,716,-1128.6705687370413,-1.5763555429288287,0.05789305017403881,20.949720670391063,481,211,24,0.8409838101844784,1.143309813897673
ATR_14_X1,1.75,ASHOKLEY,775,-1112.4858102946503,-1.4354655616705165,0.11063770149725044,24.129032258064516,553,198,24,0.9355064569480754,1.1820312844030518
ATR_14_X1,1.75,ICICIBANK,811,-1795.9625284246886,-2.214503734185806,0.02580963613485025,12.20715166461159,638,154,19,0.6519310530526706,1.2325412687615125
ATR_14_X1,1.75,INFY,758,-1380.667779923165,-1.8214614510859697,0.057548314360170244,18.073878627968337,562,173,23,0.7740353672160409,1.2199574000091356
ATR_14_X1,1.75,OLAELEC,772,-674.423561439261,-0.8736056495327215,0.2686969914777174,29.404145077720205,519,223,30,1.066164810428896,1.1637599402237966
ATR_14_X1,1.75,RELIANCE,819,-1660.6273338509736,-2.027628002260041,0.03503310594058636,14.652014652014653,605,177,37,0.7975076141953018,1.1904031198556175
ATR_14_X1,1.75,SUZLON,738,-1055.8342201506277,-1.4306696750008505,0.110077644685395,23.983739837398375,519,190,29,0.9030114531906634,1.2111077722600232
ATR_14_X1,1.75,TMPV,716,-1130.9313572426122,-1.579513068774598,0.07978429716629515,23.044692737430168,498,187,31,0.8945879454383904,1.1734493293828476
ATR_14_X1,2.0,ASHOKLEY,775,-1114.109517266208,-1.4375606674402686,0.1327156961151961,22.967741935483872,570,180,25,0.9851087703167148,1.205809144292896
ATR_14_X1,2.0,ICICIBANK,811,-1787.4847092073987,-2.204050196309986,0.03697621528907255,13.563501849568436,646,142,23,0.6966672739838977,1.2397601474414865
ATR_14_X1,2.0,INFY,758,-1370.050120032191,-1.8074539842113337,0.07487926336486124,18.601583113456467,571,160,27,0.8235533159007326,1.2299873503672583
ATR_14_X1,2.0,OLAELEC,772,-654.082766832147,-0.8472574699898276,0.30212571699200025,27.849740932642487,527,207,38,1.1292885217980346,1.176690676269152
ATR_14_X1,2.0,RELIANCE,819,-1670.2715171568677,-2.0394035618520974,0.046219959034664755,15.262515262515263,621,156,42,0.8468618266999273,1.2109150358752163
ATR_14_X1,2.0,SUZLON,738,-1059.062376996056,-1.4350438712683684,0.13092429277056078,23.441734417344172,534,172,32,0.9481389442962054,1.234605829734393
ATR_14_X1,2.0,TMPV,716,-1120.7180258154976,-1.5652486394071197,0.10194079331142161,23.044692737430168,507,172,37,0.9443730003406866,1.1853296456901228
ATR_14_X1,2.25,ASHOKLEY,775,-1100.4944681060733,-1.4199928620723528,0.15449257860323395,21.935483870967744,578,168,29,1.0359100026530785,1.2148997019483179
ATR_14_X1,2.25,ICICIBANK,811,-1793.2087306271694,-2.211108175865807,0.04756230503480156,13.686806411837239,658,127,26,0.7298205654121509,1.2522740036101792
ATR_14_X1,2.25,INFY,758,-1366.7897433488072,-1.8031526957108275,0.09033142843443653,17.810026385224276,578,143,37,0.8697705170888698,1.2374929586810564
ATR_14_X1,2.25,OLAELEC,772,-638.4299688238009,-0.8269818249012965,0.3293247806893398,26.683937823834196,535,192,45,1.1910873656489431,1.2019288407306998
ATR_14_X1,2.25,RELIANCE,819,-1666.4109817788285,-2.034689843441793,0.05868450846908338,15.14041514041514,630,142,47,0.883800556386856,1.2199112715107796
ATR_14_X1,2.25,SUZLON,738,-1059.8377907802985,-1.436094567452979,0.14734263482174645,21.81571815718157,546,158,34,0.9932077757150226,1.2451537994409245
ATR_14_X1,2.25,TMPV,716,-1133.1234917938982,-1.582574709209355,0.11458909129893917,21.22905027932961,521,150,45,0.9891430919704126,1.2045585509441943
ATR_14_X1,2.5,ASHOKLEY,775,-1105.6209233209381,-1.426607642994759,0.16655601070851575,20.258064516129032,588,151,36,1.069885801764703,1.2480707633601649
ATR_14_X1,2.5,ICICIBANK,811,-1800.6433399522589,-2.220275388350504,0.05320705811596406,13.070283600493218,664,111,36,0.7515788535962105,1.259372400682066
ATR_14_X1,2.5,INFY,758,-1368.7294215091797,-1.8057116378749072,0.0997077631113567,16.75461741424802,587,129,42,0.9086041715242203,1.251183498535994
ATR_14_X1,2.5,OLAELEC,772,-630.870090309025,-0.8171892361515869,0.34782271669160586,25.38860103626943,545,178,49,1.2441005278227542,1.2222264615723784
ATR_14_X1,2.5,RELIANCE,819,-1668.3184798899867,-2.0370189009645747,0.07028372924208376,14.652014652014653,640,131,48,0.9159334357034995,1.2268975128573654
ATR_14_X1,2.5,SUZLON,738,-1049.6111298847395,-1.4222373033668556,0.1663617161245085,20.73170731707317,552,147,39,1.027177728387793,1.2524741529994725
ATR_14_X1,2.5,TMPV,716,-1123.6948461505033,-1.5694062097074069,0.13157470181522515,20.53072625698324,527,137,52,1.0184707175280152,1.2120634959513779
ATR_14_X1,2.75,ASHOKLEY,775,-1084.245192056688,-1.3990260542666941,0.1876266361303492,19.741935483870968,592,145,38,1.1106643704282289,1.2513377033291908
ATR_14_X1,2.75,ICICIBANK,811,-1813.7596621905245,-2.2364484120721633,0.058306934812097075,12.20715166461159,673,98,40,0.7807158160833104,1.2704065900341246
ATR_14_X1,2.75,INFY,758,-1345.7925968171821,-1.7754519746928523,0.11579298386556662,17.282321899736147,588,124,46,0.941169014410959,1.251639539449379
ATR_14_X1,2.75,OLAELEC,772,-613.7023136222956,-0.7949511834485694,0.37072831383351845,24.61139896373057,550,165,57,1.287673244747161,1.227697690117831
ATR_14_X1,2.75,RELIANCE,819,-1670.2575546601952,-2.039386513626612,0.07866705791268747,14.407814407814406,647,117,55,0.9442908926083481,1.234171664433821
ATR_14_X1,2.75,SUZLON,738,-1034.5053077526447,-1.4017687096919305,0.1830345475560073,20.18970189701897,556,138,44,1.0683544168136747,1.2600110204748125
ATR_14_X1,2.75,TMPV,716,-1121.2672956811489,-1.56601577609099,0.14453303238419818,19.692737430167597,534,125,57,1.0647713321357866,1.2213146913648822
ATR_14_X1,3.0,ASHOKLEY,775,-1064.803689306718,-1.373940244266733,0.20573590396808047,19.35483870967742,595,138,42,1.1427179945578954,1.2567005431930336
