sl_mode,target_r,frozen_entries,valid_entries,invalid_risk_entries,trades,stop_loss,target,end_of_day,ambiguous_candles,win_rate_pct,total_net_r,avg_net_r,profit_factor,max_drawdown_r,avg_mfe_r,p90_mfe_r,avg_mae_r,p90_mae_r
ATR_14_X1,1.0,5389,5389,0,5389,3469,1808,112,60,13.453330859157543,-8903.65531793348,-1.6521906323869884,0.024302560786360016,8903.65531793349,0.6863956991789367,1.6202034173448991,1.1196643648020541,1.7639253333333715
ATR_14_X1,1.25,5389,5389,0,5389,3634,1625,130,42,17.46149563926517,-8838.321572727682,-1.6400670945866918,0.04344846805501704,8838.321572727687,0.7473244275318824,1.8273676315790217,1.1494588910913968,1.7847177486598287
ATR_14_X1,1.5,5389,5389,0,5389,3780,1446,163,33,19.818148079421043,-8826.297800382938,-1.6378359251035326,0.06355583072912327,8826.297800382943,0.8051882518125644,2.000114516129124,1.1740825959417778,1.7936532474502875
ATR_14_X1,1.75,5389,5389,0,5389,3894,1302,193,29,20.63462609018371,-8810.932591325978,-1.6349847079840376,0.08390799274917968,8810.932591325965,0.8579769507470569,2.1920318759540978,1.1964637239497893,1.8127130468520847
ATR_14_X1,2.0,5389,5389,0,5389,3976,1189,224,17,20.54184449805159,-8775.779033306366,-1.6284615018197004,0.10237435035640279,8775.77903330638,0.9081458626236787,2.4018555988315673,1.2121465435331453,1.823147041018547
ATR_14_X1,2.25,5389,5389,0,5389,4046,1080,263,12,19.651141213583227,-8758.295175258876,-1.6252171414471843,0.11815847913889341,8758.295175258872,0.9535287951102384,2.631087670485568,1.2253748323423486,1.8309619342359367
ATR_14_X1,2.5,5389,5389,0,5389,4103,984,302,12,18.667656336982745,-8747.488231016632,-1.6232117704614273,0.13077125551990038,8747.488231016625,0.9881779916997797,2.817113364877901,1.239108225983749,1.8400776831144119
ATR_14_X1,2.75,5389,5389,0,5389,4140,912,337,9,18.20374837632214,-8683.529922780679,-1.61134346312501,0.14430059000721812,8683.529922780674,1.0253500364182055,3.019054428101345,1.2454533118519873,1.8423085714285479
ATR_14_X1,3.0,5389,5389,0,5389,4181,829,379,7,17.20170718129523,-8689.253571970723,-1.612405561694326,0.15253602367073085,8689.253571970741,1.060578291977999,3.2080360123005254,1.2544882354044626,1.8489049918575262
ATR_14_X1_5,1.0,5389,5389,0,5389,2964,2077,348,15,27.1478938578586,-5741.973222030394,-1.0654988350399692,0.08513005443770673,5741.973222030394,0.6962763772733781,1.4565228263417316,0.9589400756391283,1.4829676470588375
ATR_14_X1_5,1.25,5389,5389,0,5389,3148,1800,441,13,29.26331415847096,-5716.131136632388,-1.0607034953854868,0.12613193541333326,5716.131136632399,0.7732907569015789,1.6688103593985644,0.9891887930580016,1.5137470425376538
