variant,threshold_pct,symbol,trades,total_net_pnl,avg_net_pnl,total_net_r,avg_net_r,targets,stop_losses,eod
EMA_GAP_0P05PCT,0.05,ASHOKLEY,210,-42.466621535000236,-0.20222200730952494,-48.81622942836989,-0.23245823537318994,44,92,74
EMA_GAP_0P05PCT,0.05,ICICIBANK,184,-551.2359957500003,-2.995847802989132,-122.82065296085264,-0.667503548700286,30,94,60
EMA_GAP_0P05PCT,0.05,INFY,176,-399.85905239999954,-2.2719264340909064,-64.84838775665526,-0.3684567486173594,35,76,65
EMA_GAP_0P05PCT,0.05,OLAELEC,213,-1.2851252400000146,-0.0060334518309859845,-8.895513869724676,-0.041762975914200355,54,96,63
EMA_GAP_0P05PCT,0.05,RELIANCE,208,-670.4329471499999,-3.223235322836538,-143.45675113668605,-0.6896959189263753,41,117,50
EMA_GAP_0P05PCT,0.05,SUZLON,217,-19.057627839999988,-0.0878231697695852,-69.23456327004607,-0.31905328695873764,44,106,67
EMA_GAP_0P05PCT,0.05,TMPV,203,-180.56328499999972,-0.8894743103448263,-84.94735624307809,-0.41845988297082803,39,101,63
EMA_GAP_0P1PCT,0.1,ASHOKLEY,168,-30.26031817500019,-0.18012094151785826,-36.36114319772275,-0.2164353761769211,34,73,61
EMA_GAP_0P1PCT,0.1,ICICIBANK,122,-424.27998995000075,-3.477704835655744,-84.86385442886402,-0.6956053641710165,16,68,38
EMA_GAP_0P1PCT,0.1,INFY,145,-312.05874920000014,-2.152129304827587,-48.959909036291094,-0.33765454507786963,29,62,54
EMA_GAP_0P1PCT,0.1,OLAELEC,196,0.5227873849999879,0.0026672825765305503,-7.381694116551115,-0.0376617046762812,49,89,58
EMA_GAP_0P1PCT,0.1,RELIANCE,137,-430.45200729999914,-3.1419854547445194,-89.09512382028643,-0.6503293709509959,26,77,34
EMA_GAP_0P1PCT,0.1,SUZLON,186,-18.135321274999974,-0.09750172728494609,-63.54425631654133,-0.34163578664807165,36,94,56
EMA_GAP_0P1PCT,0.1,TMPV,178,-161.2765072,-0.906047793258427,-72.72727604283004,-0.40858020248780924,35,91,52
EMA_GAP_0P2PCT,0.2,ASHOKLEY,101,-10.926301980000323,-0.10818120772277548,-18.880281185464806,-0.18693347708380997,19,44,38
EMA_GAP_0P2PCT,0.2,ICICIBANK,67,-282.1818961000005,-4.211670091044783,-45.39302304113135,-0.67750780658405,7,36,24
