symbol,variant,trades,stop_loss,target,end_of_day,wins,losses,win_rate_pct,total_net_pnl,avg_net_pnl,total_net_r,avg_net_r,profit_factor,max_drawdown_r,avg_mfe_r,p90_mfe_r,avg_mae_r,p90_mae_r
INFY,BASELINE_ORBVWAP,236,106,51,79,89,147,37.71186440677966,-501.86567340000033,-2.1265494635593236,-85.10891764436809,-0.3606310069676614,0.5879983040249371,86.35450472386978,0.9635012748049193,2.097309243697469,0.8331083414202933,1.2857680546519137
INFY,ORBVWAP_EMA_REGIME,192,85,39,68,70,122,36.45833333333333,-437.55781449999955,-2.278946950520831,-71.03882017076278,-0.36999385505605614,0.5635494843756276,71.7239410682672,0.9468940794975921,2.0985247058823577,0.8272771714770292,1.2690391212347458
RELIANCE,BASELINE_ORBVWAP,295,176,58,61,82,213,27.796610169491526,-976.9924411500017,-3.311838783559328,-221.30336584560132,-0.7501809011715299,0.3540782553350342,219.64017677417277,0.9041076133228892,2.1730933209647025,0.9181918691894994,1.3540233196961138
RELIANCE,ORBVWAP_EMA_REGIME,246,141,50,55,70,176,28.455284552845526,-791.1971363500019,-3.2162485217479753,-175.0489287409642,-0.7115810111421308,0.36041014114101594,173.89618101174344,0.9257216083607186,2.1872616071428705,0.9116689152188951,1.3650002751788914
ICICIBANK,BASELINE_ORBVWAP,270,152,46,72,75,195,27.77777777777778,-880.0323924500015,-3.2593792312963017,-206.4775203058922,-0.7647315566884896,0.3138400941719466,204.9032228999516,0.8449073440611304,2.1131250028555524,0.9296254874989396,1.3395917976760299
ICICIBANK,ORBVWAP_EMA_REGIME,221,119,38,64,65,156,29.411764705882355,-674.3224507500013,-3.0512328088235354,-157.7989424047238,-0.7140223638222796,0.33780831042731324,156.02540994526439,0.8476541695078151,2.109839285714325,0.9163391243025577,1.3569642857142552
TMPV,BASELINE_ORBVWAP,269,135,59,75,90,179,33.457249070631974,-210.5497819249997,-0.7827129439591067,-106.79090697628322,-0.39699221924268857,0.5236629002752347,110.18811248746721,1.0084363465913362,2.144727068273089,0.8826354611381161,1.4021481136950915
TMPV,ORBVWAP_EMA_REGIME,223,112,45,66,74,149,33.18385650224215,-189.5007183999997,-0.8497790062780256,-92.61854681207038,-0.41532980633215416,0.49400872403500357,95.704304619814,0.9818894810944709,2.135724000000004,0.8732738540047854,1.3718635989011503
ASHOKLEY,BASELINE_ORBVWAP,255,118,57,80,103,152,40.3921568627451,-60.89324333500021,-0.23879703268627533,-62.7981106157457,-0.2462671004539047,0.6816410858069587,64.16633356534479,1.0094394189005327,2.2567858833092314,0.8198624375807765,1.272727700348422
ASHOKLEY,ORBVWAP_EMA_REGIME,218,97,46,75,88,130,40.36697247706422,-46.561057190000184,-0.21358283114678983,-52.338633551264394,-0.24008547500579996,0.7059461488740666,52.802568615780515,0.9756822525828137,2.2338353588747446,0.8065784085458406,1.2648710099424314
OLAELEC,BASELINE_ORBVWAP,271,130,66,75,116,155,42.80442804428044,-8.405339519999995,-0.03101601298892987,-26.30606332555576,-0.0970703443747445,0.8883067839796298,36.14696652755533,1.123614945767288,2.2570404040404175,0.8990893422517897,1.4087999999999772
OLAELEC,ORBVWAP_EMA_REGIME,224,103,56,65,99,125,44.19642857142857,-2.014991530000007,-0.008995497901785747,-13.265711356512707,-0.05922192569871744,0.9660943524757454,23.172937399414714,1.1565766107740598,2.256115516870846,0.8850744784843749,1.427055517241374
SUZLON,BASELINE_ORBVWAP,283,147,62,74,97,186,34.275618374558306,-28.500682495000063,-0.10070912542402849,-101.97776412317589,-0.3603454562656392,0.5962401472298925,105.18448160031005,0.9663020313740485,2.2404321907600773,0.8921746731020571,1.4279810745789867
SUZLON,ORBVWAP_EMA_REGIME,233,119,46,68,81,152,34.763948497854074,-23.44331097,-0.10061506854077253,-85.01984910417194,-0.3648920562410813,0.5914666682637649,86.78549233447427,0.9468140739991179,2.233712822816095,0.8809288938622879,1.4279810745789867
