symbol,trade_date,direction,signal_candle_time,entry_candle_time,entry_hour,ema9,ema21,ema_regime_ok,entry_price,orb_high,orb_low,orb_range,stop_loss,initial_risk,target,exit_time,exit_price,exit_reason,ambiguous,mfe_r,mae_r,net_pnl,net_r,variant
INFY,2025-08-18,SELL,2025-08-18 10:20:00,2025-08-18 10:25:00,10:25,1414.9867494114924,,False,1411.0941,1433.7,1413.6,20.100000000000136,1421.1441,10.049999999999955,1390.9941000000001,2025-08-18 15:25:00,1405.6,END_OF_DAY,False,1.1735422885572264,0.12994029850746974,2.677405900000117,0.26640854726369445,BASELINE_ORBVWAP
INFY,2025-08-19,BUY,2025-08-19 09:55:00,2025-08-19 10:00:00,10:00,1410.2958585005638,1408.7637435275417,True,1413.60645,1412.3,1402.4,9.899999999999864,1408.65645,4.9500000000000455,1423.50645,2025-08-19 10:35:00,1408.65645,STOP_LOSS,False,0.14011111111110158,1.0316060606060502,-7.772262900000046,-1.570154121212116,BASELINE_ORBVWAP
INFY,2025-08-20,BUY,2025-08-20 09:40:00,2025-08-20 09:45:00,09:45,1423.9149632630265,1418.5382974817335,True,1433.21625,1431.4,1410.2,21.200000000000045,1422.61625,10.599999999999909,1454.4162499999998,2025-08-20 11:55:00,1454.4162499999998,TARGET,False,2.0362028301886976,0.15247641509434437,18.31236749999982,1.7275818396226392,BASELINE_ORBVWAP
INFY,2025-08-22,SELL,2025-08-22 09:50:00,2025-08-22 09:55:00,09:55,1462.8429236025572,1463.9117936099362,True,1458.77025,1472.4,1461.0,11.400000000000091,1464.47025,5.7000000000000455,1447.37025,2025-08-22 11:20:00,1464.47025,STOP_LOSS,False,0.4509210526315731,1.1455701754385736,-8.623240500000046,-1.5128492105263118,BASELINE_ORBVWAP
INFY,2025-08-25,BUY,2025-08-25 09:30:00,2025-08-25 09:35:00,09:35,1474.032520650303,1466.666971902422,True,1491.3453,1488.7,1474.8,13.900000000000091,1484.3953,6.9500000000000455,1505.2453,2025-08-25 13:35:00,1505.2453,TARGET,False,2.0222589928057624,0.6252230215827228,10.90340940000009,1.568835884892089,BASELINE_ORBVWAP
INFY,2025-08-26,BUY,2025-08-26 09:35:00,2025-08-26 09:40:00,09:40,1500.7561510078167,1500.7332949134316,True,1504.9521,1503.1,1487.5,15.599999999999909,1497.1521,7.7999999999999545,1520.5520999999999,2025-08-26 10:00:00,1497.1521,STOP_LOSS,False,0.10870512820512646,1.1605256410256326,-10.802104199999954,-1.384885153846156,BASELINE_ORBVWAP
INFY,2025-08-28,SELL,2025-08-28 10:10:00,2025-08-28 10:15:00,10:15,1480.2258887022251,1484.4874493946133,True,1473.8627,1497.2,1477.5,19.700000000000045,1483.7127,9.850000000000136,1454.1626999999996,2025-08-28 15:25:00,1468.2,END_OF_DAY,False,0.7677868020304411,0.673837563451777,2.7206372999998587,0.2762068324872915,BASELINE_ORBVWAP
INFY,2025-08-29,SELL,2025-08-29 09:30:00,2025-08-29 09:35:00,09:35,1462.1352537567368,1466.0969736850566,True,1454.57235,1470.1,1456.3,13.799999999999955,1461.47235,6.900000000000091,1440.7723499999997,2025-08-29 14:20:00,1440.7723499999997,TARGET,False,2.0539637681158895,0.5982101449275473,10.904655300000183,1.5803848260869622,BASELINE_ORBVWAP
INFY,2025-09-02,BUY,2025-09-02 11:45:00,2025-09-02 11:50:00,11:50,1467.9276186664854,1466.3683784365214,True,1472.83605,1471.2,1454.8,16.40000000000009,1464.6360499999998,8.200000000000045,1489.23605,2025-09-02 14:05:00,1464.6360499999998,STOP_LOSS,False,0.9712134146341492,1.1629329268292536,-11.137472100000046,-1.3582283048780468,BASELINE_ORBVWAP
INFY,2025-09-03,SELL,2025-09-03 09:45:00,2025-09-03 09:50:00,09:50,1454.5614157286645,1460.0122793840874,True,1447.3759499999999,1470.1,1450.7,19.399999999999864,1457.07595,9.700000000000045,1427.9759499999998,2025-09-03 15:25:00,1448.7,END_OF_DAY,False,0.5748402061855561,0.29113917525774813,-4.22012595000017,-0.4350645309278506,BASELINE_ORBVWAP
