symbol,variant,trades,stop_loss,target,end_of_day,wins,losses,win_rate_pct,total_net_pnl,avg_net_pnl,total_net_r,avg_net_r,profit_factor,max_drawdown_r,avg_mfe_r,p90_mfe_r,avg_mae_r,p90_mae_r
INFY,BASELINE_ORBVWAP,236,30,4,202,98,138,41.52542372881356,-576.3466466000004,-2.4421468076271204,-35.74055832686168,-0.15144304375788847,0.5578846372359968,39.46422884706554,0.5689846858578053,1.1982556728760976,0.4981091222220245,1.0119275034604864
INFY,ORBVWAP_EMA_REGIME,192,25,2,165,74,118,38.54166666666667,-572.5000126500004,-2.981770899218752,-35.460543996608465,-0.1846903333156691,0.48358583053677445,37.234100663277374,0.5427933778003111,1.156541516521032,0.4956633788391393,1.0111638804315857
RELIANCE,BASELINE_ORBVWAP,295,75,12,208,89,206,30.16949152542373,-982.1486687000006,-3.329317521016951,-94.12948646758119,-0.3190830049748515,0.43790916580749073,92.90177591052026,0.5703147374343429,1.344312004419321,0.6020805696396607,1.1184576041751613
RELIANCE,ORBVWAP_EMA_REGIME,246,58,8,180,73,173,29.67479674796748,-857.1253227500006,-3.484249279471547,-78.486718380851,-0.3190517007351667,0.4148024132965742,78.54660286245773,0.5552897247764899,1.331083782244853,0.5841098602763501,1.1093900813466333
ICICIBANK,BASELINE_ORBVWAP,270,62,7,201,87,183,32.22222222222222,-910.4027202000032,-3.3718619266666785,-88.63521974285541,-0.32827859164020523,0.3652869811843311,87.37272753583476,0.5392362733676623,1.2745107067223298,0.6000949810659896,1.1048727406107888
ICICIBANK,ORBVWAP_EMA_REGIME,221,49,5,167,71,150,32.126696832579185,-764.1265332500027,-3.4575861233031797,-72.3570731025866,-0.32740757059993936,0.34686288535947035,71.38603457001356,0.5211989628608124,1.198647831583563,0.5874638099004058,1.0867461518443067
TMPV,BASELINE_ORBVWAP,270,57,16,197,96,174,35.55555555555556,-251.7619519499996,-0.9324516738888874,-49.9538538935598,-0.18501427367985113,0.5529596642483783,54.55201417782276,0.6079218857487226,1.5026305777491986,0.5722878476550559,1.0900046253565
TMPV,ORBVWAP_EMA_REGIME,224,41,13,170,82,142,36.607142857142854,-207.62674482499983,-0.9269051108258921,-38.709312652120204,-0.1728094314826795,0.5495066691623018,42.53944666039024,0.595831094557232,1.4608298861195776,0.5611543787137773,1.044127425957619
ASHOKLEY,BASELINE_ORBVWAP,255,51,11,193,109,146,42.745098039215684,-76.83786770500001,-0.3013249713921569,-28.24115357364221,-0.11074962185742043,0.6827476146329579,28.573633809486214,0.6044286113350302,1.4738439477869232,0.517907524993037,1.0747873978722011
ASHOKLEY,ORBVWAP_EMA_REGIME,218,38,9,171,92,126,42.201834862385326,-60.392472949999934,-0.27702969243119235,-22.387718955005123,-0.10269595850919781,0.697496588705058,23.332944756029388,0.5748609823469119,1.388832208314322,0.49835212930525097,1.0577216704150831
OLAELEC,BASELINE_ORBVWAP,271,58,21,192,134,137,49.44649446494465,11.977250799999982,0.0441964974169741,2.4215923730847138,0.008935765214334737,1.1390465079586138,13.973093213465322,0.7004780452874391,1.6953124999999956,0.5676877391208576,1.1334820704976023
OLAELEC,ORBVWAP_EMA_REGIME,224,50,18,156,111,113,49.55357142857143,12.050647779999988,0.053797534732142806,1.2540496376702093,0.005598435882456292,1.1704597587271643,9.912368375417396,0.7068989728827785,1.7514097922908518,0.5728259693859726,1.1343016735965927
SUZLON,BASELINE_ORBVWAP,283,73,9,201,113,170,39.92932862190813,-32.70522248500005,-0.1155661571908129,-50.58233586883357,-0.17873616914782178,0.636622758825203,53.399155611702504,0.612917134661579,1.4250894836212078,0.5761011616604174,1.100431887603279
SUZLON,ORBVWAP_EMA_REGIME,233,55,5,173,95,138,40.772532188841204,-27.280870230000012,-0.1170852799570816,-42.076461264977745,-0.18058567066514053,0.620416239806771,43.081972001612364,0.5838631400039578,1.2998135045035726,0.5575769385101049,1.0982301015954936
