FILTER,SYMBOL,TRADES,TOTAL_PNL,AVG_PNL,PROFIT_FACTOR,WIN_RATE_PCT,AVG_MFE_R,AVG_MAE_R,STOP_LOSS,TARGET,END_OF_DAY
NO_FILTER,ASHOKLEY,255,-81.64161178001268,-0.3201631834510301,0.5996152719379433,37.64705882352941,1.5297525604648456,1.536861201653017,118,57,80
NO_FILTER,ICICIBANK,270,-1063.3669157301756,-3.9383959841858354,0.24919679658926008,26.296296296296294,1.4185982094192489,1.8225868828685277,152,46,72
NO_FILTER,INFY,236,-661.1253442494753,-2.8013785773282853,0.49957781938072787,35.16949152542373,1.3514219418532836,1.2785830623882308,106,51,79
NO_FILTER,OLAELEC,271,-13.843931466360033,-0.05108461795704809,0.8235274283171164,42.066420664206646,1.8448815622471157,1.7693585773326215,130,66,75
NO_FILTER,RELIANCE,295,-1184.0466598698013,-4.013717491084072,0.28894319627321674,25.76271186440678,1.4823044782156138,1.8647111540844548,176,58,61
NO_FILTER,SUZLON,283,-35.867424253057564,-0.12674001502847196,0.5249881488679626,32.86219081272085,1.60368455794675,1.6516474680631903,147,62,74
NO_FILTER,TMPV,269,-261.1822999038375,-0.9709379178581319,0.45152627490367897,31.970260223048324,1.5671394664024494,1.655258266981971,135,59,75
Q1_SMALLEST,ASHOKLEY,64,-19.318230450209953,-0.3018473507845305,0.46189292783776215,42.1875,2.3346889136822684,2.200672657272512,36,22,6
Q1_SMALLEST,ICICIBANK,69,-316.8658523693253,-4.592258729990221,0.09632831068613298,18.84057971014493,1.729144074353207,2.9191557342767926,54,13,2
Q1_SMALLEST,INFY,59,-220.34799056834825,-3.7347117045482756,0.28763221306726305,30.508474576271187,1.7553946454495881,1.7824695478002874,36,16,7
Q1_SMALLEST,OLAELEC,72,-6.363159839482491,-0.08837721999281238,0.52367865610546,34.72222222222222,2.422717744909516,2.7543778496815814,43,21,8
Q1_SMALLEST,RELIANCE,74,-340.44534316687486,-4.600612745498309,0.08876736656567834,16.216216216216218,1.6040771551336257,2.556243929058358,54,12,8
Q1_SMALLEST,SUZLON,71,-10.823877405090055,-0.15244897753647965,0.31749902937121294,28.169014084507044,2.1004539293420614,2.1268631387155432,43,17,11
Q1_SMALLEST,TMPV,70,-68.58103085407495,-0.9797290122010708,0.2963528072855062,30.0,2.1245936899105087,2.406407031284175,42,17,11
Q1_Q2,ASHOKLEY,128,-49.463972017800096,-0.38643728138906325,0.4143894896767076,36.71875,1.8638823606249588,1.8316105082020866,70,34,24
Q1_Q2,ICICIBANK,136,-613.2762897459749,-4.5093844834262855,0.1396074102989239,19.852941176470587,1.6600696643796835,2.442230945492638,98,26,12
Q1_Q2,INFY,118,-405.9938995918488,-3.440626267727532,0.37058934898815915,30.508474576271187,1.6106508057296742,1.492187812556607,66,31,21
Q1_Q2,OLAELEC,136,-5.081710636199985,-0.037365519383823424,0.795145334189488,41.17647058823529,2.267579837300419,2.3865762713124155,71,41,24
Q1_Q2,RELIANCE,150,-597.6721340529748,-3.9844808936864986,0.19007511324002835,23.333333333333332,1.6939492740301065,2.2751034636261553,99,34,17
Q1_Q2,SUZLON,143,-18.12856118376757,-0.12677315513124174,0.4310415834242023,32.16783216783217,1.853856295027637,1.938560834878633,81,34,28
Q1_Q2,TMPV,135,-118.61877062501263,-0.8786575601852787,0.4036503545994701,32.592592592592595,1.961798529951566,1.9826602408910428,78,35,22
EXCLUDE_Q4_LARGEST,ASHOKLEY,193,-66.72831847109256,-0.34574258275177494,0.5189260894876784,36.787564766839374,1.7080753172036784,1.675996987371204,98,51,44
EXCLUDE_Q4_LARGEST,ICICIBANK,202,-795.1222110256499,-3.93624856943391,0.223047285821743,25.247524752475247,1.5929475106978987,2.081129958949942,127,40,35
EXCLUDE_Q4_LARGEST,INFY,177,-566.9468403504768,-3.2030894935055185,0.41415982619636604,34.463276836158194,1.4792430455061387,1.385307573828484,91,42,44
EXCLUDE_Q4_LARGEST,OLAELEC,204,-5.984900373802491,-0.029337746930404366,0.867592096262576,42.64705882352941,2.0562427294731305,1.9471545744022445,101,59,44
EXCLUDE_Q4_LARGEST,RELIANCE,221,-923.9002600482756,-4.180544163114369,0.21033686554682646,24.43438914027149,1.6531668045944878,2.090999928867241,144,45,32
EXCLUDE_Q4_LARGEST,SUZLON,214,-26.296186101555048,-0.122879374306332,0.48782712505614406,32.71028037383177,1.7458656847441274,1.80593072362467,117,50,47
EXCLUDE_Q4_LARGEST,TMPV,204,-177.85006656967533,-0.871814051812134,0.45378776476227783,33.82352941176471,1.7650412938667288,1.8435505378839316,111,51,42
