variant,symbol,trades,total_net_r,avg_net_r,total_net_pnl
ORB_50PCT,ASHOKLEY,255,-62.7981106157457,-0.2462671004539047,-60.893243335000214
ORB_50PCT,ICICIBANK,270,-206.4775203058922,-0.7647315566884896,-880.0323924500015
ORB_50PCT,INFY,236,-85.10891764436808,-0.3606310069676613,-501.86567340000033
ORB_50PCT,OLAELEC,271,-26.306063325555748,-0.09707034437474446,-8.405339519999997
ORB_50PCT,RELIANCE,295,-221.30336584560132,-0.7501809011715299,-976.9924411500017
ORB_50PCT,SUZLON,283,-101.97776412317589,-0.3603454562656392,-28.50068249500006
ORB_50PCT,TMPV,269,-106.79090697628322,-0.39699221924268857,-210.5497819249997
ORB_BOUNDARY,ASHOKLEY,255,-28.24115357364221,-0.11074962185742043,-76.837867705
ORB_BOUNDARY,ICICIBANK,270,-88.63521974285541,-0.32827859164020523,-910.4027202000032
ORB_BOUNDARY,INFY,236,-35.74055832686168,-0.15144304375788847,-576.3466466000006
ORB_BOUNDARY,OLAELEC,271,2.4215923730847164,0.008935765214334746,11.977250799999982
ORB_BOUNDARY,RELIANCE,295,-94.12948646758119,-0.3190830049748515,-982.1486687000006
ORB_BOUNDARY,SUZLON,283,-50.58233586883357,-0.17873616914782178,-32.70522248500004
ORB_BOUNDARY,TMPV,269,-50.01625243100623,-0.18593402390708635,-261.5087797749996
