variant,entry_hour,trades,total_net_r,avg_net_r
ORB_50PCT,09:35,322,-173.97501360232266,-0.5402950732991387
ORB_50PCT,09:40,165,-61.64022658081985,-0.37357713079284754
ORB_50PCT,09:45,112,-63.26430728056845,-0.5648598864336469
ORB_50PCT,09:50,119,-36.97016021542651,-0.310673615255685
ORB_50PCT,09:55,77,-43.97433079820209,-0.5710952051714557
ORB_50PCT,10:00,64,-43.33687185862323,-0.677138622790988
ORB_50PCT,10:05,64,-26.68845345810749,-0.4170070852829295
ORB_50PCT,10:10,57,-27.53937129265364,-0.4831468647833972
ORB_50PCT,10:15,50,-24.68217771963674,-0.49364355439273483
ORB_50PCT,10:20,24,-1.299095643331154,-0.05412898513879808
ORB_50PCT,10:25,39,-6.103780269990554,-0.1565071864100142
ORB_50PCT,10:30,31,-13.277046815474478,-0.4282918327572412
ORB_50PCT,10:35,31,-2.7020344357976174,-0.08716240115476186
ORB_50PCT,10:40,36,-17.624129837746747,-0.48955916215963186
ORB_50PCT,10:45,34,-16.415338512870107,-0.48280407390794433
ORB_50PCT,10:50,23,-18.316626898943603,-0.7963750825627653
ORB_50PCT,10:55,19,-8.927828528399257,-0.46988571202101354
ORB_50PCT,11:00,15,-6.624754843101562,-0.4416503228734375
ORB_50PCT,11:05,18,-8.44418915033516,-0.4691216194630644
ORB_50PCT,11:10,13,-8.601655498486643,-0.6616658075758957
ORB_50PCT,11:15,16,-3.4056072297454225,-0.2128504518590889
ORB_50PCT,11:20,25,-0.693743459356381,-0.02774973837425524
ORB_50PCT,11:25,16,-7.317969617660962,-0.45737310110381013
ORB_50PCT,11:30,18,-11.604857060569495,-0.6447142811427498
ORB_50PCT,11:35,14,5.30034151689229,0.3785958226351636
ORB_50PCT,11:40,14,-5.457050188824505,-0.38978929920175037
ORB_50PCT,11:45,16,-5.405385152200983,-0.33783657201256145
ORB_50PCT,11:50,17,-8.384483718619618,-0.49320492462468346
ORB_50PCT,11:55,14,-4.4132550017521845,-0.315232500125156
ORB_50PCT,12:00,13,-1.1399383363465456,-0.08768756433434967
ORB_50PCT,12:05,18,-3.740045390367529,-0.2077802994648627
ORB_50PCT,12:10,9,-1.8773156032715017,-0.20859062258572242
ORB_50PCT,12:15,10,-10.905643199804341,-1.0905643199804342
ORB_50PCT,12:20,7,-0.39099065798129023,-0.055855808283041465
ORB_50PCT,12:25,10,-2.4429623116217005,-0.24429623116217006
ORB_50PCT,12:30,10,2.347090586579474,0.2347090586579474
ORB_50PCT,12:35,12,-8.603350622466627,-0.7169458852055522
ORB_50PCT,12:40,13,-3.0337064614295244,-0.2333620354945788
ORB_50PCT,12:45,9,-4.9157584748574505,-0.5461953860952723
ORB_50PCT,12:50,15,-1.7839971688142457,-0.11893314458761638
ORB_50PCT,12:55,3,-1.1260464228841975,-0.37534880762806583
ORB_50PCT,13:00,11,2.5887222382099018,0.23533838529180925
ORB_50PCT,13:05,11,-2.425454443851323,-0.22049585853193845
ORB_50PCT,13:10,3,-1.7441385882257214,-0.5813795294085738
ORB_50PCT,13:15,11,-10.00738326915251,-0.909762115377501
ORB_50PCT,13:20,6,-6.646831427815087,-1.1078052379691812
ORB_50PCT,13:25,12,1.0488475813385438,0.08740396511154531
ORB_50PCT,13:30,9,-1.9163163630337285,-0.21292404033708096
ORB_50PCT,13:35,6,-5.837266308707216,-0.9728777181178693
ORB_50PCT,13:40,4,-1.1617571363475325,-0.29043928408688313
ORB_50PCT,13:45,5,1.0826833873662012,0.21653667747324024
ORB_50PCT,13:50,7,-5.797567993062952,-0.8282239990089931
ORB_50PCT,13:55,6,-0.8358664478216417,-0.13931107463694029
ORB_50PCT,14:00,9,-6.001250653187789,-0.6668056281319765
ORB_50PCT,14:05,7,0.2213198596516418,0.0316171228073774
ORB_50PCT,14:10,14,-3.258457184094417,-0.23274694172102978
ORB_50PCT,14:15,10,-1.2609176530328339,-0.1260917653032834
ORB_50PCT,14:20,14,-2.7141335906061936,-0.19386668504329954
ORB_50PCT,14:25,13,-9.64350840053233,-0.741808338502487
ORB_50PCT,14:30,7,-1.619341095836032,-0.23133444226229027
ORB_50PCT,14:35,8,0.433743786899087,0.054217973362385874
ORB_50PCT,14:40,9,-1.3044351714066365,-0.14493724126740404
ORB_50PCT,14:45,12,-7.008326949379265,-0.5840272457816055
ORB_50PCT,14:50,10,-7.611672630645703,-0.7611672630645703
ORB_50PCT,14:55,9,-6.57191869804506,-0.7302131886716734
ORB_50PCT,15:00,11,-7.373229774741194,-0.6702936158855631
ORB_50PCT,15:05,13,-8.357789189741222,-0.6429068607493248
ORB_50PCT,15:10,20,-11.70428797477931,-0.5852143987389655
ORB_50PCT,15:15,8,-4.383397761077201,-0.5479247201346501
ORB_50PCT,15:20,7,-2.719539465748625,-0.3885056379640893
ORB_50PCT,15:25,15,-8.83111030327575,-0.58874068688505
ORB_BOUNDARY,09:35,322,-63.663409481124205,-0.19771245180473357
ORB_BOUNDARY,09:40,165,-32.15618776135445,-0.19488598643245122
