status,mode,trade_date,direction,orb_high,orb_low,break_time,break_close,break_vwap,broken_level,move_time,move_price,move_excursion,move_excursion_orb_r,retest_time,retest_high,retest_low,retest_close,retest_vwap,rejection_time,rejection_open,rejection_high,rejection_low,rejection_close,entry_time,raw_entry_price,entry_price,stop_loss,risk,target,exit_time,raw_exit_price,exit_price,exit_reason,ambiguous,mfe,mae,mfe_r,mae_r,pnl_r,gross_pnl,costs,net_pnl
TRADE,ORB_LEVEL,2026-07-01,SELL,1014.0,1004.8,2026-07-01 09:35:00+05:30,1003.8,1008.8764614066155,1004.8,2026-07-01 09:40:00+05:30,1001.2,3.599999999999909,0.39130434782607515,2026-07-01 09:45:00+05:30,1006.8,1002.2,1005.6,1007.9429041329706,2026-07-01 09:50:00+05:30,1005.7,1005.7,1002.1,1003.0,2026-07-01 09:55:00+05:30,1003.0,1002.4985,1005.7,3.20150000000001,996.0955,2026-07-01 12:10:00+05:30,996.0955,996.59354775,TARGET,False,8.398500000000013,0.5014999999999645,2.6233015773855963,0.1566453225050642,1.2200094337810565,5.904952250000065,1.99909204775,3.905860202250065
TRADE,ORB_LEVEL,2026-07-02,BUY,1029.8,1006.0,2026-07-02 09:35:00+05:30,1030.9,1023.2270212568361,1029.8,2026-07-02 09:40:00+05:30,1034.5,4.7000000000000455,0.19747899159664095,2026-07-02 09:50:00+05:30,1031.9,1028.7,1030.5,1024.7187616692395,2026-07-02 09:55:00+05:30,1031.0,1035.0,1030.4,1034.4,2026-07-02 10:00:00+05:30,1034.4,1034.9172,1030.4,4.5172000000000025,1043.9516,2026-07-02 15:20:00+05:30,1043.9516,1043.4296242,TARGET,False,9.082799999999907,3.9172000000000935,2.0107146019657978,0.8671743557956458,1.4243507871690289,8.512424199999941,2.0783468242,6.434077375799941
TRADE,ORB_LEVEL,2026-07-03,SELL,1068.7,1052.2,2026-07-03 09:30:00+05:30,1051.5,1057.6590198862611,1052.2,2026-07-03 09:35:00+05:30,1049.0,3.2000000000000455,0.1939393939393967,2026-07-03 10:50:00+05:30,1052.7,1049.0,1052.7,1051.4224550641518,2026-07-03 10:55:00+05:30,1052.7,1052.7,1050.1,1051.6,2026-07-03 11:00:00+05:30,1051.8,1051.2740999999999,1052.7,1.4259000000001834,1048.4222999999995,2026-07-03 11:00:00+05:30,1052.7,1053.2263500000001,STOP_LOSS,False,0.0,5.525900000000092,0.0,3.87537695490524,-2.8450455501786625,-1.9522500000002765,2.10450045,-4.056750450000276
RETEST_NO_REJECTION,ORB_LEVEL,2026-07-06,SELL,,,2026-07-06 09:50:00+05:30,,,,2026-07-06 09:55:00+05:30,,,,2026-07-06 15:05:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADE,ORB_LEVEL,2026-07-07,BUY,1067.5,1040.6,2026-07-07 09:40:00+05:30,1069.2,1061.656811112668,1067.5,2026-07-07 09:45:00+05:30,1074.8,7.2999999999999545,0.27137546468401225,2026-07-07 09:55:00+05:30,1069.5,1065.8,1069.5,1064.6992233032624,2026-07-07 10:00:00+05:30,1069.0,1071.6,1069.0,1070.5,2026-07-07 10:05:00+05:30,1070.5,1071.03525,1069.0,2.0352499999999054,1075.1057499999997,2026-07-07 10:05:00+05:30,1069.0,1068.4655,STOP_LOSS,False,3.764750000000049,2.0352499999999054,1.8497727551898901,1.0,-2.3138438766736784,-2.5697499999998854,2.1395007500000003,-4.709250749999885
TRADE,ORB_LEVEL,2026-07-10,SELL,1091.3,1069.2,2026-07-10 09:30:00+05:30,1066.2,1078.624983660407,1069.2,2026-07-10 09:35:00+05:30,1064.7,4.5,0.20361990950226327,2026-07-10 09:40:00+05:30,1070.4,1067.7,1068.8,1076.6928816720067,2026-07-10 09:50:00+05:30,1070.2,1070.9,1068.2,1068.7,2026-07-10 09:55:00+05:30,1068.7,1068.1656500000001,1070.9,2.7343499999999494,1062.6969500000002,2026-07-10 10:15:00+05:30,1070.9,1071.4354500000002,STOP_LOSS,False,2.1656500000001415,3.134349999999813,0.7920163841498643,1.1462870517672832,-1.9783133468649339,-3.269800000000032,2.1396011000000006,-5.409401100000032
MOVE_NO_RETEST,ORB_LEVEL,2026-07-13,BUY,,,2026-07-13 10:40:00+05:30,,,,2026-07-13 10:45:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADE,ORB_LEVEL,2026-07-14,SELL,1113.5,1102.6,2026-07-14 09:30:00+05:30,1101.8,1106.198158030251,1102.6,2026-07-14 09:35:00+05:30,1098.0,4.599999999999909,0.42201834862384136,2026-07-14 10:25:00+05:30,1103.5,1093.2,1102.9,1101.8716744260614,2026-07-14 10:40:00+05:30,1104.7,1105.0,1100.2,1100.2,2026-07-14 10:45:00+05:30,1100.2,1099.6499000000001,1105.0,5.350099999999884,1088.9497000000003,2026-07-14 15:25:00+05:30,1092.1,1092.6460499999998,END_OF_DAY,False,9.649900000000116,4.050099999999929,1.803685912412913,0.7570138875908894,0.8993390871199395,7.003850000000284,2.19229595,4.811554050000284
MOVE_NO_RETEST,ORB_LEVEL,2026-07-16,SELL,,,2026-07-16 15:20:00+05:30,,,,2026-07-16 15:25:00+05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADE,ORB_LEVEL,2026-07-17,SELL,1116.8,1104.0,2026-07-17 09:30:00+05:30,1101.5,1109.167311309693,1104.0,2026-07-17 09:35:00+05:30,1101.3,2.7000000000000455,0.2109375000000043,2026-07-17 09:40:00+05:30,1105.9,1103.6,1103.6,1108.4127136764475,2026-07-17 09:45:00+05:30,1104.5,1104.5,1097.5,1098.1,2026-07-17 09:50:00+05:30,1098.0,1097.451,1104.5,7.048999999999978,1083.353,2026-07-17 15:25:00+05:30,1093.0,1093.5465,END_OF_DAY,False,5.451000000000022,6.848999999999933,0.7733011774719873,0.9716271811604418,0.24308448006810945,3.9045000000000982,2.1909975,1.7135025000000983
