trade_index,trade_id,trade_date,direction,entry_time,entry_price,stop_loss,risk,target,exit_time,exit_reason,mfe_r,mae_r,reached_0.25r,reached_0.25r_time,reached_0.50r,reached_0.50r_time,reached_0.75r,reached_0.75r_time,reached_1.00r,reached_1.00r_time,reached_1.25r,reached_1.25r_time,reached_1.50r,reached_1.50r_time,reached_1.75r,reached_1.75r_time,reached_2.00r,reached_2.00r_time,reached_2.50r,reached_2.50r_time,reached_3.00r,reached_3.00r_time
1,2026-07-01|SELL|2026-07-01 09:55:00+05:30|1002.4985,2026-07-01,SELL,2026-07-01 09:55:00+05:30,1002.4985,1005.7,3.20150000000001,996.0955,2026-07-01 12:10:00+05:30,TARGET,2.6233015773855963,0.1566453225050642,True,2026-07-01 09:55:00+05:30,True,2026-07-01 10:00:00+05:30,True,2026-07-01 10:00:00+05:30,True,2026-07-01 10:05:00+05:30,True,2026-07-01 10:20:00+05:30,True,2026-07-01 10:20:00+05:30,True,2026-07-01 10:30:00+05:30,True,2026-07-01 12:10:00+05:30,True,2026-07-01 12:10:00+05:30,False,
2,2026-07-02|BUY|2026-07-02 10:00:00+05:30|1034.9172,2026-07-02,BUY,2026-07-02 10:00:00+05:30,1034.9172,1030.4,4.5172000000000025,1043.9516,2026-07-02 15:20:00+05:30,TARGET,2.0107146019657978,0.8671743557956458,True,2026-07-02 10:15:00+05:30,True,2026-07-02 10:20:00+05:30,True,2026-07-02 10:20:00+05:30,True,2026-07-02 11:20:00+05:30,True,2026-07-02 11:20:00+05:30,True,2026-07-02 13:50:00+05:30,True,2026-07-02 15:20:00+05:30,True,2026-07-02 15:20:00+05:30,False,,False,
3,2026-07-03|SELL|2026-07-03 11:00:00+05:30|1051.2741,2026-07-03,SELL,2026-07-03 11:00:00+05:30,1051.2741,1052.7,1.4259000000001834,1048.4222999999995,2026-07-03 11:00:00+05:30,STOP_LOSS,0.0,3.8753769549050805,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
4,2026-07-07|BUY|2026-07-07 10:05:00+05:30|1071.03525,2026-07-07,BUY,2026-07-07 10:05:00+05:30,1071.03525,1069.0,2.0352499999999054,1075.1057499999995,2026-07-07 10:05:00+05:30,STOP_LOSS,1.8497727551898901,1.0,True,2026-07-07 10:05:00+05:30,True,2026-07-07 10:05:00+05:30,True,2026-07-07 10:05:00+05:30,True,2026-07-07 10:05:00+05:30,True,2026-07-07 10:05:00+05:30,True,2026-07-07 10:05:00+05:30,True,2026-07-07 10:05:00+05:30,False,,False,,False,
5,2026-07-10|SELL|2026-07-10 09:55:00+05:30|1068.16565,2026-07-10,SELL,2026-07-10 09:55:00+05:30,1068.16565,1070.9,2.734349999999949,1062.6969500000002,2026-07-10 10:15:00+05:30,STOP_LOSS,0.7920163841497814,1.1462870517673667,True,2026-07-10 09:55:00+05:30,True,2026-07-10 09:55:00+05:30,True,2026-07-10 09:55:00+05:30,False,,False,,False,,False,,False,,False,,False,
6,2026-07-14|SELL|2026-07-14 10:45:00+05:30|1099.6499,2026-07-14,SELL,2026-07-14 10:45:00+05:30,1099.6499,1105.0,5.350099999999884,1088.9497000000003,2026-07-14 15:25:00+05:30,END_OF_DAY,1.8036859124128704,0.7570138875909319,True,2026-07-14 10:45:00+05:30,True,2026-07-14 10:45:00+05:30,True,2026-07-14 12:05:00+05:30,True,2026-07-14 12:05:00+05:30,True,2026-07-14 12:35:00+05:30,True,2026-07-14 12:35:00+05:30,True,2026-07-14 13:25:00+05:30,False,,False,,False,
7,2026-07-17|SELL|2026-07-17 09:50:00+05:30|1097.451,2026-07-17,SELL,2026-07-17 09:50:00+05:30,1097.451,1104.5,7.048999999999978,1083.353,2026-07-17 15:25:00+05:30,END_OF_DAY,0.7733011774719873,0.9716271811604418,True,2026-07-17 11:10:00+05:30,True,2026-07-17 15:20:00+05:30,True,2026-07-17 15:25:00+05:30,False,,False,,False,,False,,False,,False,,False,
8,2026-07-20|SELL|2026-07-20 11:45:00+05:30|1090.0547,2026-07-20,SELL,2026-07-20 11:45:00+05:30,1090.0547,1091.9,1.8453000000001796,1086.3640999999996,2026-07-20 12:10:00+05:30,TARGET,2.576654202568414,0.8916165393160862,True,2026-07-20 11:50:00+05:30,True,2026-07-20 11:50:00+05:30,True,2026-07-20 11:50:00+05:30,True,2026-07-20 12:05:00+05:30,True,2026-07-20 12:05:00+05:30,True,2026-07-20 12:10:00+05:30,True,2026-07-20 12:10:00+05:30,True,2026-07-20 12:10:00+05:30,True,2026-07-20 12:10:00+05:30,False,
9,2026-07-21|SELL|2026-07-21 10:25:00+05:30|1072.2636,2026-07-21,SELL,2026-07-21 10:25:00+05:30,1072.2636,1080.1,7.836399999999912,1056.5908000000002,2026-07-21 15:25:00+05:30,END_OF_DAY,0.64616405492318,0.8085855750089306,True,2026-07-21 10:45:00+05:30,True,2026-07-21 10:50:00+05:30,False,,False,,False,,False,,False,,False,,False,,False,
10,2026-07-22|SELL|2026-07-22 10:40:00+05:30|1056.6714,2026-07-22,SELL,2026-07-22 10:40:00+05:30,1056.6714,1057.7,1.0286000000000968,1054.6141999999998,2026-07-22 10:40:00+05:30,STOP_LOSS,0.0,1.1944390433599326,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,
