threshold_r,reached,reached_pct,stopped_after_reaching,target_after_reaching,eod_after_reaching,avg_mfe_r,avg_mae_r
0.25,12,60.0,4,4,4,1.7290003376780347,0.9841917703409498
0.5,12,60.0,4,4,4,1.7290003376780347,0.9841917703409498
0.75,11,55.00000000000001,4,4,3,1.8274399997466575,1.000155969916588
1.0,9,45.0,3,4,2,2.059613603954608,0.987089048461629
1.25,9,45.0,3,4,2,2.059613603954608,0.987089048461629
1.5,9,45.0,3,4,2,2.059613603954608,0.987089048461629
1.75,7,35.0,1,4,2,2.1749019124373783,0.737100373591703
2.0,4,20.0,0,4,0,2.424282658573019,0.6100024548915061
2.5,2,10.0,0,2,0,2.599977889977005,0.5241309309105752
3.0,0,0.0,0,0,0,0.0,0.0
